wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;645;133;133;6;t0
dolnoœl¹skie;1792526;28176;599815;15522;t02
kujawsko-pomorskie;1126020;23481;364418;13211;t04
lubelskie;1071360;20911;382744;13299;t06
lubuskie;598242;11172;200505;6869;t08
³ódzkie;1439937;26793;482879;17794;t10
ma³opolskie;1768546;37961;594108;20950;t12
mazowieckie;3353020;58060;1125116;30179;t14
opolskie;542739;9681;178751;7671;t16
podkarpackie;1038824;16035;380568;11577;t18
podlaskie;684899;10433;247906;7811;t20
pomorskie;1436546;31680;492838;21706;t22
œl¹skie;2622326;51294;871493;30699;t24
œwiêtokrzyskie;612820;14498;202163;8717;t26
warmiñsko-mazurskie;719107;13434;244451;7879;t28
wielkopolskie;1915229;40435;637987;20512;t30
zachodniopomorskie;1031152;19191;347984;11965;t32
ca³y kraj;21753938;413368;7353859;246367;t00
