wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2255618;13122;912646;10638;t02
kujawsko-pomorskie;1449014;8380;562723;5730;t04
lubelskie;1313396;7197;550477;5370;t06
lubuskie;762013;3846;314583;3002;t08
³ódzkie;1826387;8021;741791;5932;t10
ma³opolskie;2283329;15080;892717;11515;t12
mazowieckie;4273905;21085;1687701;16280;t14
opolskie;696942;3846;299719;3389;t16
podkarpackie;1268496;5593;560121;4462;t18
podlaskie;847913;2915;373252;2450;t20
pomorskie;1838178;9370;767422;6761;t22
œl¹skie;3341525;20266;1344530;15698;t24
œwiêtokrzyskie;780056;5353;313339;3843;t26
warmiñsko-mazurskie;917032;5239;368137;3618;t28
wielkopolskie;2479749;14241;959139;10051;t30
zachodniopomorskie;1288357;5101;525645;3907;t32
ca³y kraj;27621910;148655;11173942;112646;t00
