data;liczba_szczepien_dziennie;dawka_2_dziennie;dawka_1_dziennie;dawka_3_dziennie;dawka_przypomianjaca_dziennie
2020-12-27;2169;0;2169;0;0
2020-12-28;4384;0;4384;0;0
2020-12-29;10027;0;10027;0;0
2020-12-30;20325;0;20325;0;0
2020-12-31;10610;0;10609;1;0
2021-01-01;1352;2;1350;0;0
2021-01-02;2262;0;2262;0;0
2021-01-03;640;0;640;0;0
2021-01-04;40612;2;40610;0;0
2021-01-05;55334;1;55333;0;0
2021-01-06;18758;0;18758;0;0
2021-01-07;30370;0;30370;0;0
2021-01-08;11829;0;11829;0;0
2021-01-09;2263;0;2263;0;0
2021-01-10;996;2;993;1;0
2021-01-11;47645;2;47643;0;0
2021-01-12;63426;0;63426;0;0
2021-01-13;55156;1;55155;0;0
2021-01-14;46574;3;46571;0;0
2021-01-15;26254;1;26253;0;0
2021-01-16;20993;17;20976;0;0
2021-01-17;12075;435;11640;0;0
2021-01-18;28346;2952;25392;2;0
2021-01-19;49462;8131;41331;0;0
2021-01-20;51256;14493;36762;1;0
2021-01-21;53029;14807;38222;0;0
2021-01-22;38221;5270;32951;0;0
2021-01-23;16876;1362;15514;0;0
2021-01-24;5369;557;4812;0;0
2021-01-25;73319;29579;43740;0;0
2021-01-26;132992;48420;84571;1;0
2021-01-27;104833;26628;78205;0;0
2021-01-28;89589;29534;60055;0;0
2021-01-29;43756;16142;27614;0;0
2021-01-30;16267;3126;13141;0;0
2021-01-31;8693;1397;7296;0;0
2021-02-01;57168;33398;23770;0;0
2021-02-02;114767;57546;57221;0;0
2021-02-03;121909;56136;65773;0;0
2021-02-04;107370;51709;55661;0;0
2021-02-05;52119;29709;22410;0;0
2021-02-06;24706;15750;8956;0;0
2021-02-07;16398;10194;6204;0;0
2021-02-08;33137;11783;21354;0;0
2021-02-09;89850;20285;69564;1;0
2021-02-10;113475;45141;68334;0;0
2021-02-11;111966;59127;52838;1;0
2021-02-12;75909;43838;32071;0;0
2021-02-13;35678;15306;20372;0;0
2021-02-14;14735;4886;9849;0;0
2021-02-15;36361;11810;24551;0;0
2021-02-16;71903;34046;37857;0;0
2021-02-17;155298;86057;69239;2;0
2021-02-18;175010;95204;79806;0;0
2021-02-19;103359;50484;52875;0;0
2021-02-20;36023;7741;28282;0;0
2021-02-21;16072;3640;12432;0;0
2021-02-22;43440;4168;39272;0;0
2021-02-23;71964;20625;51339;0;0
2021-02-24;161074;77264;83810;0;0
2021-02-25;175184;90918;84266;0;0
2021-02-26;103780;45801;57979;0;0
2021-02-27;44804;11953;32851;0;0
2021-02-28;18072;5852;12220;0;0
2021-03-01;46166;5436;40730;0;0
