wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;256;0;125;0;t0
dolnoœl¹skie;1645094;9726;514243;5394;t02
kujawsko-pomorskie;1020069;5506;306963;2508;t04
lubelskie;989106;2630;331204;1570;t06
lubuskie;548674;1772;169946;689;t08
³ódzkie;1322458;6259;409248;2692;t10
ma³opolskie;1618848;7306;511949;3380;t12
mazowieckie;3061836;21143;979496;7733;t14
opolskie;497462;991;146156;391;t16
podkarpackie;966595;2209;329729;1316;t18
podlaskie;633698;498;210540;316;t20
pomorskie;1310478;4298;404913;3048;t22
œl¹skie;2379257;11082;737535;4928;t24
œwiêtokrzyskie;558858;922;169729;122;t26
warmiñsko-mazurskie;660204;1231;209787;906;t28
wielkopolskie;1750488;9173;549125;4847;t30
zachodniopomorskie;945671;3548;294537;1895;t32
ca³y kraj;19909052;88294;6275225;41735;t00
