wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2741293;4530;1274505;2997;t02
kujawsko-pomorskie;1822285;3957;841411;2440;t04
lubelskie;1558542;3040;725508;1310;t06
lubuskie;923527;1807;431264;945;t08
³ódzkie;2229842;3208;1040956;1823;t10
ma³opolskie;2875275;6746;1330188;4143;t12
mazowieckie;5304201;10852;2467708;6369;t14
opolskie;809970;808;381527;373;t16
podkarpackie;1449581;2721;678377;1317;t18
podlaskie;970692;1173;457445;588;t20
pomorskie;2220987;5143;1039280;2946;t22
œl¹skie;4083264;7560;1899299;4504;t24
œwiêtokrzyskie;961155;1513;442285;686;t26
warmiñsko-mazurskie;1143768;2892;532122;1849;t28
wielkopolskie;3190599;7153;1486145;4559;t30
zachodniopomorskie;1558935;3930;720743;2432;t32
ca³y kraj;33843941;67033;15748763;39281;t00
