wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2837617;4589;1325305;2515;t02
kujawsko-pomorskie;1901555;3324;884294;1940;t04
lubelskie;1619633;3619;755892;1606;t06
lubuskie;961963;1846;449798;957;t08
³ódzkie;2317070;4170;1088627;2105;t10
ma³opolskie;2995037;5208;1397015;2917;t12
mazowieckie;5503147;8582;2580050;4554;t14
opolskie;836346;942;394408;328;t16
podkarpackie;1503963;2962;703375;1442;t18
podlaskie;1004048;1216;473231;655;t20
pomorskie;2311947;3797;1088329;1798;t22
œl¹skie;4222044;5300;1974590;2844;t24
œwiêtokrzyskie;1006775;2210;467096;1112;t26
warmiñsko-mazurskie;1198031;2755;560328;1368;t28
wielkopolskie;3346509;5569;1578627;2836;t30
zachodniopomorskie;1624050;2637;754607;1268;t32
ca³y kraj;35189762;58728;16475572;30245;t00
