wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2850264;5250;1331820;2559;t02
kujawsko-pomorskie;1910264;3867;888733;2167;t04
lubelskie;1628491;3487;760192;1881;t06
lubuskie;966658;2026;451865;816;t08
³ódzkie;2328894;4654;1094936;2664;t10
ma³opolskie;3009459;6593;1404332;3357;t12
mazowieckie;5528346;9558;2593056;5114;t14
opolskie;839993;1513;396201;796;t16
podkarpackie;1512754;3660;707790;1977;t18
podlaskie;1009423;1798;475668;876;t20
pomorskie;2323097;4386;1093695;2276;t22
œl¹skie;4241784;8379;1985085;4754;t24
œwiêtokrzyskie;1013103;2791;470380;1444;t26
warmiñsko-mazurskie;1204928;3058;563455;1414;t28
wielkopolskie;3367279;8397;1589542;4573;t30
zachodniopomorskie;1632370;3659;758768;2106;t32
ca³y kraj;35367132;73076;16565518;38774;t00
