wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;36487;585;6144;71;t0
dolnoœl¹skie;1287784;18458;350645;7254;t02
kujawsko-pomorskie;797377;10714;206358;3235;t04
lubelskie;815271;7192;240760;2869;t06
lubuskie;421619;7658;118250;2914;t08
³ódzkie;1047473;13373;282662;5473;t10
ma³opolskie;1275576;23893;346261;9061;t12
mazowieckie;2379801;45326;665144;15619;t14
opolskie;404475;5515;102124;776;t16
podkarpackie;799432;13581;237748;6183;t18
podlaskie;517534;5419;143693;2851;t20
pomorskie;1055375;18842;276067;6580;t22
œl¹skie;1858075;38325;493366;18468;t24
œwiêtokrzyskie;445142;5833;116745;2488;t26
warmiñsko-mazurskie;535169;5965;147787;2250;t28
wielkopolskie;1365639;21766;367829;8564;t30
zachodniopomorskie;733801;12170;184333;5528;t32
ca³y kraj;15776030;254615;4285916;100184;t00
