wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2803764;6675;1308496;3830;t02
kujawsko-pomorskie;1872869;5716;869921;3621;t04
lubelskie;1596028;5128;744937;2609;t06
lubuskie;947463;2266;443487;1150;t08
³ódzkie;2285000;6478;1072589;3761;t10
ma³opolskie;2952706;7445;1374765;4311;t12
mazowieckie;5432466;14371;2543103;8756;t14
opolskie;826789;1491;389840;757;t16
podkarpackie;1482556;4168;693727;2002;t18
podlaskie;991105;2316;467462;1286;t20
pomorskie;2279365;6445;1072429;3768;t22
œl¹skie;4173883;9825;1949310;5466;t24
œwiêtokrzyskie;989302;3619;458952;2287;t26
warmiñsko-mazurskie;1178095;3732;550683;1810;t28
wielkopolskie;3291253;9826;1549849;6201;t30
zachodniopomorskie;1599389;3964;743155;2171;t32
ca³y kraj;34702058;93465;16232705;53786;t00
