wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;43;18;0;0;t0
dolnoœl¹skie;2512947;28261;1107493;23779;t02
kujawsko-pomorskie;1631383;21411;697950;18585;t04
lubelskie;1436711;14094;642050;11527;t06
lubuskie;846597;7813;378698;6419;t08
³ódzkie;2030650;21163;896286;17907;t10
ma³opolskie;2561516;30053;1096005;25245;t12
mazowieckie;4811501;53018;2097246;44892;t14
opolskie;758906;6721;346357;5610;t16
podkarpackie;1361537;9744;627097;7329;t18
podlaskie;915268;6705;422588;5513;t20
pomorskie;2022861;18146;896359;15339;t22
œl¹skie;3723472;42655;1633930;37041;t24
œwiêtokrzyskie;866234;9728;375239;7670;t26
warmiñsko-mazurskie;1023145;12537;444535;10237;t28
wielkopolskie;2814091;32905;1198488;26496;t30
zachodniopomorskie;1422505;13019;624888;10229;t32
ca³y kraj;30739367;327991;13485209;273818;t00
