wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;445;1;215;1;t0;230;0;0;0;0;0
dolnoœl¹skie;3409136;12312;1437248;468;t02;1673095;1862;18054;232;280739;9750
kujawsko-pomorskie;2296232;10547;966074;461;t04;1131358;1564;12986;217;185814;8305
lubelskie;2008283;5124;843003;526;t06;988557;832;14978;37;161745;3729
lubuskie;1191680;7244;492419;374;t08;594014;1950;5345;124;99902;4796
³ódzkie;2796468;11314;1192048;471;t10;1366125;1703;19620;31;218675;9109
ma³opolskie;3582837;15883;1531876;834;t12;1770961;2615;13498;58;266502;12376
mazowieckie;6739189;28461;2841961;1717;t14;3284306;4250;42212;420;570710;22074
opolskie;995137;4241;425658;153;t16;491328;854;4362;105;73789;3129
podkarpackie;1824096;6358;774156;390;t18;907426;1234;8366;9;134148;4725
podlaskie;1232415;3853;520793;290;t20;607205;710;5875;67;98542;2786
pomorskie;2806769;11470;1189557;539;t22;1372277;1861;14548;111;230387;8959
œl¹skie;5053134;21823;2140485;847;t24;2480831;2919;20959;272;410859;17785
œwiêtokrzyskie;1220674;4933;518634;246;t26;606935;681;6775;64;88330;3942
warmiñsko-mazurskie;1463895;4325;622096;225;t28;721385;547;9848;36;110566;3517
wielkopolskie;4063645;18642;1742913;745;t30;1989305;3524;22258;161;309169;14212
zachodniopomorskie;1988848;7839;827947;323;t32;983190;1497;10901;132;166810;5887
ca³y kraj;42672883;174370;18067083;8610;t00;20968528;28603;230585;2076;3406687;135081
