wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;11;0;2;0;t0;5;0;0;0;4;0
dolnoœl¹skie;3833337;15256;1471737;2000;t02;1737097;1881;14645;40;609858;11335
kujawsko-pomorskie;2591131;11976;991866;2122;t04;1176372;1376;10476;39;412417;8439
lubelskie;2242104;8810;874092;1689;t06;1023265;1324;12202;16;332545;5781
lubuskie;1344896;6509;508224;1139;t08;622081;908;4814;24;209777;4438
³ódzkie;3143989;14434;1223786;2260;t10;1417270;1718;16374;82;486559;10374
ma³opolskie;4008620;19969;1573181;3576;t12;1839445;2379;11534;69;584460;13945
mazowieckie;7619683;36184;2923559;5417;t14;3429648;4574;35459;106;1231017;26087
opolskie;1125693;4319;439150;803;t16;511944;526;3630;40;170969;2950
podkarpackie;2021849;8634;798904;1713;t18;941923;1175;7095;25;273927;5721
podlaskie;1376194;5087;539540;823;t20;630478;659;4996;15;201180;3590
pomorskie;3167902;15198;1220034;2612;t22;1431450;1913;12866;134;503552;10539
œl¹skie;5676439;26783;2190003;3408;t24;2569629;3129;17000;183;899807;20063
œwiêtokrzyskie;1367972;6550;533815;979;t26;628297;882;5347;36;200513;4653
warmiñsko-mazurskie;1651905;6900;642712;1047;t28;753346;932;9095;26;246752;4895
wielkopolskie;4582261;23483;1796649;4465;t30;2083648;3042;18008;93;683956;15883
zachodniopomorskie;2248843;10493;851084;1768;t32;1023395;1370;9691;51;364673;7304
ca³y kraj;48002829;220585;18578338;35821;t00;21819293;27788;193232;979;7411966;155997
