wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2159484;8578;836471;7579;t02
kujawsko-pomorskie;1384506;2674;515592;1225;t04
lubelskie;1265999;1677;514647;1091;t06
lubuskie;732298;2057;291793;1478;t08
³ódzkie;1752068;3985;687277;3044;t10
ma³opolskie;2190660;5544;825944;3343;t12
mazowieckie;4097543;13214;1560531;8420;t14
opolskie;670292;1855;278602;1658;t16
podkarpackie;1229304;3001;528638;2396;t18
podlaskie;821431;426;352496;226;t20
pomorskie;1764731;3048;713132;1974;t22
œl¹skie;3201110;7524;1240357;5171;t24
œwiêtokrzyskie;747740;1468;288875;755;t26
warmiñsko-mazurskie;876514;1483;340171;740;t28
wielkopolskie;2360773;5486;878538;1946;t30
zachodniopomorskie;1240109;1549;489364;1188;t32
ca³y kraj;26494562;63569;10342428;42234;t00
