wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;7;0;1;0;t0;1;0;0;0;5;0
dolnoœl¹skie;4307662;882;1553098;161;t02;1796363;91;16760;23;941441;607
kujawsko-pomorskie;2916583;672;1050042;192;t04;1218170;71;11954;17;636417;392
lubelskie;2479576;201;913725;63;t06;1053348;21;13381;1;499122;116
lubuskie;1501347;380;537548;67;t08;644134;23;5348;10;314317;280
³ódzkie;3512263;604;1288015;134;t10;1464070;52;18570;4;741608;414
ma³opolskie;4493695;1440;1656569;282;t12;1896438;141;13981;2;926707;1015
mazowieckie;8540789;2276;3096115;540;t14;3548977;229;40116;9;1855581;1498
opolskie;1256532;187;463101;36;t16;528979;18;4982;1;259470;132
podkarpackie;2206866;352;832485;86;t18;968219;48;8319;0;397843;218
podlaskie;1508507;158;563474;21;t20;649909;26;6045;0;289079;111
pomorskie;3572889;991;1295583;287;t22;1489242;96;14724;5;773340;603
œl¹skie;6352265;1598;2302638;298;t24;2653074;137;20388;10;1376165;1153
œwiêtokrzyskie;1528747;167;559938;39;t26;649248;19;6327;0;313234;109
warmiñsko-mazurskie;1874837;139;681936;30;t28;785014;14;10431;0;397456;95
wielkopolskie;5217603;1357;1913901;309;t30;2166648;111;20051;1;1117003;936
zachodniopomorskie;2506749;481;895918;121;t32;1057809;41;10517;0;542505;319
ca³y kraj;53776917;11885;19604087;2666;t00;22569643;1138;221894;83;11381293;7998
