wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;303;0;142;0;t0;161;0;0;0;0;0
dolnoœl¹skie;3395806;19823;1436710;1099;t02;1671132;2807;18164;135;269800;15782
kujawsko-pomorskie;2285610;13394;965605;663;t04;1129798;1707;12883;54;177324;10970
lubelskie;2002849;12439;842429;1321;t06;987656;1964;15023;239;157741;8915
lubuskie;1184265;7957;492010;419;t08;592034;1551;5416;58;94805;5929
³ódzkie;2784446;17655;1191520;1248;t10;1364312;2147;19671;229;208943;14031
ma³opolskie;3566799;22029;1531027;1733;t12;1768347;2972;13484;92;253941;17232
mazowieckie;6708257;36916;2840064;2444;t14;3279628;4782;41844;390;546721;29300
opolskie;990673;5271;425495;379;t16;490443;897;4455;9;70280;3986
podkarpackie;1817636;10773;773750;828;t18;906176;1812;8478;106;129232;8027
podlaskie;1228052;7789;520475;832;t20;606422;1303;5900;53;95255;5601
pomorskie;2794740;15856;1188963;868;t22;1370305;2207;14558;230;220914;12551
œl¹skie;5030581;30375;2139594;1629;t24;2477835;3526;20701;176;392451;25044
œwiêtokrzyskie;1215638;7369;518386;519;t26;606239;976;6712;200;84301;5674
warmiñsko-mazurskie;1458769;8020;621777;729;t28;720633;1149;9826;92;106533;6050
wielkopolskie;4043431;24129;1742058;1478;t30;1985476;3699;22066;221;293831;18731
zachodniopomorskie;1980606;12210;827587;795;t32;981619;1584;10893;92;160507;9739
ca³y kraj;42488461;252005;18057592;16984;t00;20938216;35083;230074;2376;3262579;197562
