wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;19855;1628;1908;110;
dolnośląskie;905090;20329;229865;5402;t02
kujawsko-pomorskie;540052;13356;128868;3621;t04
lubelskie;583978;12804;158662;3100;t06
lubuskie;281931;6731;68938;1870;t08
łódzkie;701356;17240;177251;3409;t10
małopolskie;876960;18357;214785;4951;t12
mazowieckie;1664383;34170;412740;8424;t14
opolskie;260168;6811;68862;1497;t16
podkarpackie;548680;10196;142920;2244;t18
podlaskie;350022;8275;93678;1957;t20
pomorskie;694953;18043;179334;2854;t22
śląskie;1213068;28101;282657;5858;t24
świętokrzyskie;304009;8160;75310;1794;t26
warmińsko-mazurskie;376688;8587;94275;2367;t28
wielkopolskie;931275;20115;224937;4386;t30
zachodniopomorskie;487701;11785;112279;2623;t32
cały kraj;10740169;244688;2746824;56467;t00
