wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnoœl¹skie;boles³awiecki;68432;212;30882;162;t0201
dolnoœl¹skie;dzier¿oniowski;64468;225;30292;60;t0202
dolnoœl¹skie;g³ogowski;60240;321;27242;6;t0203
dolnoœl¹skie;górowski;25488;30;11480;29;t0204
dolnoœl¹skie;jaworski;37143;0;16742;0;t0205
dolnoœl¹skie;jeleniogórski;48519;0;22684;0;t0206
dolnoœl¹skie;kamiennogórski;29174;13;13635;0;t0207
dolnoœl¹skie;k³odzki;120632;9;56536;0;t0208
dolnoœl¹skie;legnicki;41945;28;18761;18;t0209
dolnoœl¹skie;lubañski;27790;0;11560;0;t0210
dolnoœl¹skie;lubiñski;119248;110;56918;60;t0211
dolnoœl¹skie;lwówecki;38962;150;18131;92;t0212
dolnoœl¹skie;milicki;32151;65;15041;35;t0213
dolnoœl¹skie;oleœnicki;88264;557;39772;232;t0214
dolnoœl¹skie;o³awski;43839;0;21185;0;t0215
dolnoœl¹skie;polkowicki;39573;52;17277;33;t0216
dolnoœl¹skie;strzeliñski;35363;0;16506;0;t0217
dolnoœl¹skie;œredzki;20771;0;9817;0;t0218
dolnoœl¹skie;œwidnicki;94375;269;43566;178;t0219
dolnoœl¹skie;trzebnicki;56243;136;26808;74;t0220
dolnoœl¹skie;wa³brzyski;30086;0;14203;0;t0221
dolnoœl¹skie;wo³owski;40011;60;17974;18;t0222
dolnoœl¹skie;wroc³awski;98601;228;46870;152;t0223
dolnoœl¹skie;z¹bkowicki;52204;306;24562;146;t0224
dolnoœl¹skie;zgorzelecki;54240;5;24633;0;t0225
dolnoœl¹skie;z³otoryjski;32593;0;14479;0;t0226
dolnoœl¹skie;Jelenia Góra;84877;71;40800;50;t0261
dolnoœl¹skie;Legnica;84957;120;39959;50;t0262
dolnoœl¹skie;Wroc³aw;1008782;1222;475059;833;t0264
dolnoœl¹skie;Wa³brzych;203884;577;95497;351;t0265
kujawsko-pomorskie;aleksandrowski;128766;92;61192;0;t0401
kujawsko-pomorskie;brodnicki;67093;84;31147;47;t0402
kujawsko-pomorskie;bydgoski;73192;261;34242;195;t0403
kujawsko-pomorskie;che³miñski;39027;64;18287;61;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;33513;0;15316;0;t0405
kujawsko-pomorskie;grudzi¹dzki;24221;3;10798;0;t0406
kujawsko-pomorskie;inowroc³awski;100181;176;47480;54;t0407
kujawsko-pomorskie;lipnowski;49213;166;22237;163;t0408
kujawsko-pomorskie;mogileñski;29031;50;13545;0;t0409
kujawsko-pomorskie;nakielski;78571;443;35442;164;t0410
kujawsko-pomorskie;radziejowski;42378;170;19421;80;t0411
kujawsko-pomorskie;rypiñski;32739;57;15053;52;t0412
kujawsko-pomorskie;sêpoleñski;46670;0;21764;0;t0413
kujawsko-pomorskie;œwiecki;71995;271;33007;134;t0414
kujawsko-pomorskie;toruñski;68255;12;29718;12;t0415
kujawsko-pomorskie;tucholski;36582;266;16961;196;t0416
kujawsko-pomorskie;w¹brzeski;25574;36;11333;33;t0417
kujawsko-pomorskie;w³oc³awski;61294;117;29004;77;t0418
kujawsko-pomorskie;¿niñski;50278;558;23547;347;t0419
kujawsko-pomorskie;Bydgoszcz;412877;830;194328;378;t0461
kujawsko-pomorskie;Grudzi¹dz;116733;84;54008;13;t0462
kujawsko-pomorskie;Toruñ;180818;822;84105;322;t0463
kujawsko-pomorskie;W³oc³awek;88506;261;40263;112;t0464
lubelskie;bialski;58127;0;26542;0;t0601
lubelskie;bi³gorajski;50619;0;24041;0;t0602
lubelskie;che³mski;34601;40;16281;17;t0603
lubelskie;hrubieszowski;41526;0;18917;0;t0604
lubelskie;janowski;28446;59;13207;34;t0605
lubelskie;krasnostawski;39069;64;18145;34;t0606
lubelskie;kraœnicki;63228;1;29837;0;t0607
lubelskie;lubartowski;51991;235;24363;105;t0608
lubelskie;lubelski;79350;115;36099;55;t0609
lubelskie;³êczyñski;38424;0;18312;0;t0610
lubelskie;³ukowski;51852;89;24202;27;t0611
lubelskie;opolski;41816;83;19094;42;t0612
lubelskie;parczewski;26621;0;12336;0;t0613
lubelskie;pu³awski;92211;54;43604;0;t0614
lubelskie;radzyñski;28981;6;13695;0;t0615
lubelskie;rycki;50995;126;24295;82;t0616
lubelskie;œwidnicki;42776;40;20453;14;t0617
lubelskie;tomaszowski;52223;63;24110;28;t0618
lubelskie;w³odawski;33657;0;15686;0;t0619
lubelskie;zamojski;46154;192;22257;170;t0620
lubelskie;Bia³a Podlaska;65563;72;30927;28;t0661
lubelskie;Che³m;59550;194;27385;106;t0662
lubelskie;Lublin;420963;443;195504;150;t0663
lubelskie;Zamoœæ;84229;118;39684;75;t0664
