wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;20;1;8;1;t0;4;0;0;0;8;0
dolnoœl¹skie;4306738;2789;1552926;608;t02;1796256;268;16734;15;940822;1898
kujawsko-pomorskie;2915858;1223;1049848;321;t04;1218074;96;11937;0;635999;806
lubelskie;2479289;1284;913634;363;t06;1053284;119;13380;12;498991;790
lubuskie;1500960;820;537480;173;t08;644107;94;5338;1;314035;552
³ódzkie;3511614;1923;1287866;478;t10;1464010;201;18566;34;741172;1210
ma³opolskie;4492191;3215;1656276;536;t12;1896265;278;13979;7;925671;2394
mazowieckie;8538342;4619;3095554;900;t14;3548636;463;40109;28;1854043;3228
opolskie;1256291;719;463049;173;t16;528938;58;4981;3;259323;485
podkarpackie;2206497;901;832395;240;t18;968164;126;8319;6;397619;529
podlaskie;1508290;714;563441;172;t20;649859;76;6045;9;288945;457
pomorskie;3571833;2041;1295288;408;t22;1489119;178;14719;4;772707;1451
œl¹skie;6350599;4153;2302326;785;t24;2652900;338;20378;31;1374995;2999
œwiêtokrzyskie;1528571;656;559899;158;t26;649224;71;6327;14;313121;413
warmiñsko-mazurskie;1874659;1033;681900;229;t28;784993;87;10429;0;397337;717
wielkopolskie;5216060;3369;1913562;819;t30;2166465;254;20050;26;1115983;2270
zachodniopomorskie;2506228;1262;895791;299;t32;1057744;129;10517;8;542176;826
ca³y kraj;53764040;30722;19601243;6663;t00;22568042;2836;221808;198;11372947;21025
