wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;7181;156;1225;0;
dolnośląskie;557868;9835;177340;1258;t02
kujawsko-pomorskie;327249;6101;99767;235;t04
lubelskie;379435;7655;121607;652;t06
lubuskie;168901;4639;50111;429;t08
łódzkie;435129;9141;141510;414;t10
małopolskie;537314;9498;167023;640;t12
mazowieckie;1030637;20740;321429;1544;t14
opolskie;166332;2679;52333;226;t16
podkarpackie;352248;8250;108760;701;t18
podlaskie;224967;5268;71003;743;t20
pomorskie;434458;8245;140815;932;t22
śląskie;711426;16826;221246;1079;t24
świętokrzyskie;189798;3598;58692;212;t26
warmińsko-mazurskie;241403;4957;72599;412;t28
wielkopolskie;567074;13176;176303;685;t30
zachodniopomorskie;283399;7170;88240;370;t32
cały kraj;6614819;137934;2070003;10532;t00
