wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;10;0;1;0;t0;5;0;0;0;4;0
dolnoœl¹skie;4062635;9866;1500490;1403;t02;1767652;1156;15311;23;779182;7284
kujawsko-pomorskie;2746686;7792;1011479;1133;t04;1198002;1096;11415;12;525790;5551
lubelskie;2357272;5071;887330;587;t06;1038538;698;12716;39;418688;3747
lubuskie;1417600;3408;518344;371;t08;633116;478;5013;3;261127;2556
³ódzkie;3324644;6992;1245704;952;t10;1441572;795;17326;41;620042;5204
ma³opolskie;4240579;9869;1603005;1458;t12;1869380;1383;12546;25;755648;7003
mazowieckie;8076673;18188;2992949;2554;t14;3491903;2238;37552;205;1554269;13191
opolskie;1190698;2124;447506;348;t16;520867;307;4405;6;217920;1463
podkarpackie;2113625;3213;810774;454;t18;955964;457;7550;8;339337;2294
podlaskie;1441007;2080;548402;262;t20;640281;350;5409;21;246915;1447
pomorskie;3360473;8691;1246058;1093;t22;1463077;1155;13733;24;637605;6419
œl¹skie;6009898;13228;2229448;1634;t24;2614202;1503;18665;21;1147583;10070
œwiêtokrzyskie;1444089;2902;541855;294;t26;638553;412;5768;4;257913;2192
warmiñsko-mazurskie;1753405;4051;655429;457;t28;768738;649;9604;2;319634;2943
wielkopolskie;4883482;11736;1837833;1464;t30;2126939;1567;18759;15;899951;8690
zachodniopomorskie;2372270;5506;866940;646;t32;1041121;634;10159;11;454050;4215
ca³y kraj;50795046;114717;18943547;15110;t00;22209910;14878;205931;460;9435658;84269
