wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2389671;26390;1012674;20270;t02
kujawsko-pomorskie;1541948;19859;629080;13976;t04
lubelskie;1377636;15727;598567;11323;t06
lubuskie;808243;9082;349570;6943;t08
³ódzkie;1934219;23237;821804;16967;t10
ma³opolskie;2425473;30468;993623;21997;t12
mazowieckie;4556914;54779;1898439;38850;t14
opolskie;729645;6751;324775;5040;t16
podkarpackie;1316307;9507;595987;6552;t18
podlaskie;883353;7271;399817;5202;t20
pomorskie;1932624;23475;830819;16286;t22
œl¹skie;3537313;42086;1489722;31173;t24
œwiêtokrzyskie;825303;10224;345610;6901;t26
warmiñsko-mazurskie;970939;11563;405880;7844;t28
wielkopolskie;2654553;36119;1078258;24483;t30
zachodniopomorskie;1358073;13600;576790;9831;t32
ca³y kraj;29242214;340138;12351415;243638;t00
