wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2854540;1166;1333421;134;t02
kujawsko-pomorskie;1913913;1000;889729;254;t04
lubelskie;1630456;728;760915;106;t06
lubuskie;969201;448;452714;24;t08
³ódzkie;2332494;1021;1096298;262;t10
ma³opolskie;3016500;2173;1407196;456;t12
mazowieckie;5538531;2414;2597083;575;t14
opolskie;840897;251;396579;52;t16
podkarpackie;1515403;791;708639;71;t18
podlaskie;1011005;496;476070;25;t20
pomorskie;2327821;1243;1095468;288;t22
œl¹skie;4248734;2941;1987257;446;t24
œwiêtokrzyskie;1015767;1042;471406;367;t26
warmiñsko-mazurskie;1206889;533;564046;93;t28
wielkopolskie;3373598;1715;1592055;372;t30
zachodniopomorskie;1635200;490;759798;221;t32
ca³y kraj;35430974;18452;16588674;3746;t00
