wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2636339;16801;1202666;12804;t02
kujawsko-pomorskie;1739160;15736;783592;12218;t04
lubelskie;1503963;10892;691543;7708;t06
lubuskie;886942;4853;409091;3574;t08
³ódzkie;2136750;15537;977814;11762;t10
ma³opolskie;2729547;24757;1228771;19711;t12
mazowieckie;5084657;36617;2315174;29098;t14
opolskie;787738;3981;367696;2818;t16
podkarpackie;1407720;6510;656858;4129;t18
podlaskie;945706;4102;443371;2938;t20
pomorskie;2126301;16843;974860;13116;t22
œl¹skie;3921071;28226;1788656;22172;t24
œwiêtokrzyskie;917080;7379;412726;5439;t26
warmiñsko-mazurskie;1090459;10611;496383;8060;t28
wielkopolskie;3005706;28381;1351042;21965;t30
zachodniopomorskie;1494035;9401;677687;6699;t32
ca³y kraj;32413199;240627;14777930;184211;t00
