wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;21;0;7;0;t0;14;0;0;0;0;0
dolnoœl¹skie;3720268;16457;1459810;1740;t02;1719078;2737;14975;74;526405;11906
kujawsko-pomorskie;2511136;11685;982361;1439;t04;1164111;1988;10431;63;354233;8195
lubelskie;2179747;10269;864525;1682;t06;1013840;1615;12310;72;289072;6900
lubuskie;1303664;7417;502711;1238;t08;615150;1350;4798;19;181005;4810
³ódzkie;3050869;13973;1212187;1692;t10;1403264;2343;16752;26;418666;9912
ma³opolskie;3884934;17805;1557938;2219;t12;1821017;3171;11507;21;494472;12394
mazowieckie;7377484;35924;2895628;4325;t14;3390069;6421;36398;90;1055389;25088
opolskie;1090868;6207;434317;962;t16;506448;894;3608;15;146495;4336
podkarpackie;1968566;8913;790147;1700;t18;933096;1625;7197;26;238126;5562
podlaskie;1338592;6271;533753;1094;t20;624572;912;5144;47;175123;4218
pomorskie;3074365;15636;1209364;1695;t22;1415445;3211;12730;22;436826;10708
œl¹skie;5504954;27302;2172892;3017;t24;2544694;4664;17059;64;770309;19557
œwiêtokrzyskie;1327200;6415;528506;976;t26;622445;918;5728;6;170521;4515
warmiñsko-mazurskie;1600731;7947;635489;1164;t28;744581;1276;9572;41;211089;5466
wielkopolskie;4434934;21550;1776473;3050;t30;2058817;4205;18296;37;581348;14258
zachodniopomorskie;2181179;10395;843111;1354;t32;1013076;1764;9685;28;315307;7249
ca³y kraj;46549512;224166;18399219;29347;t00;21589717;39094;196190;651;6364386;155074
