wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2338937;11463;974328;7997;t02
kujawsko-pomorskie;1502673;7228;600177;6111;t04
lubelskie;1348790;6298;577022;5028;t06
lubuskie;790568;3495;336214;2875;t08
³ódzkie;1890625;7458;789600;6123;t10
ma³opolskie;2370334;14613;953264;11409;t12
mazowieckie;4452211;27734;1822912;22708;t14
opolskie;717328;2666;315475;2252;t16
podkarpackie;1298161;4858;583274;3926;t18
podlaskie;867890;2557;388392;2094;t20
pomorskie;1893177;9452;803380;7209;t22
œl¹skie;3456483;13946;1428780;10939;t24
œwiêtokrzyskie;806964;3727;332708;3066;t26
warmiñsko-mazurskie;948855;5053;390484;3956;t28
wielkopolskie;2587027;13519;1031147;10365;t30
zachodniopomorskie;1331297;6949;557292;5524;t32
ca³y kraj;28601320;141016;11884449;111582;t00
