wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;116;11;18;3;t0
dolnoœl¹skie;1545339;32851;460484;16865;t02
kujawsko-pomorskie;958953;19093;273257;10832;t04
lubelskie;947341;18127;305210;10387;t06
lubuskie;519863;10269;154525;5086;t08
³ódzkie;1248558;25884;369058;13453;t10
ma³opolskie;1521687;32234;457166;16297;t12
mazowieckie;2873467;56653;881098;30206;t14
opolskie;472553;8905;130703;4986;t16
podkarpackie;925137;14545;301689;9361;t18
podlaskie;605085;10194;191374;6973;t20
pomorskie;1244043;24800;364424;12410;t22
œl¹skie;2237465;49781;661616;25131;t24
œwiêtokrzyskie;528619;11052;152703;6313;t26
warmiñsko-mazurskie;627099;13318;190124;7501;t28
wielkopolskie;1641164;36840;486016;17777;t30
zachodniopomorskie;888751;18271;260553;11216;t32
ca³y kraj;18785240;382828;5640018;204797;t00
