wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;8;0;2;0;t0
dolnoœl¹skie;3256271;6827;1428313;214;t02
kujawsko-pomorskie;2186460;5141;960252;126;t04
lubelskie;1914258;4179;832591;205;t06
lubuskie;1127169;2626;488856;90;t08
³ódzkie;2667546;5056;1183932;176;t10
ma³opolskie;3430141;7520;1522363;217;t12
mazowieckie;6408143;16933;2820304;502;t14
opolskie;949860;1647;423003;62;t16
podkarpackie;1746214;3371;768650;134;t18
podlaskie;1173603;2631;515636;120;t20
pomorskie;2682533;6366;1182259;272;t22
œl¹skie;4812458;11876;2128493;287;t24
œwiêtokrzyskie;1165918;1498;515224;56;t26
warmiñsko-mazurskie;1401653;2344;616964;123;t28
wielkopolskie;3874686;7604;1731572;236;t30
zachodniopomorskie;1889675;5608;822132;150;t32
ca³y kraj;40686596;91227;17940546;2970;t00
