wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;9;0;2;0;t0;7;0;0;0;0;0
dolnoœl¹skie;3531496;2650;1444040;67;t02;1688700;428;17183;66;381573;2089
kujawsko-pomorskie;2385308;1959;970804;97;t04;1142269;319;11454;42;260781;1501
lubelskie;2080006;1061;850894;116;t06;998089;155;14585;0;216438;790
lubuskie;1238572;1513;495390;26;t08;602329;263;5197;2;135656;1222
³ódzkie;2902707;2253;1198409;154;t10;1379262;363;18439;13;306597;1723
ma³opolskie;3702864;2431;1539821;204;t12;1787106;451;12368;64;363569;1712
mazowieckie;6991082;5135;2860269;335;t14;3315611;682;40310;35;774892;4083
opolskie;1033197;814;427992;8;t16;496743;148;3904;0;104558;658
podkarpackie;1885366;507;779103;19;t18;917492;126;7937;0;180834;362
podlaskie;1275770;389;525056;32;t20;614317;65;5224;0;131173;292
pomorskie;2909626;2281;1195949;126;t22;1385831;318;13771;1;314075;1836
œl¹skie;5240656;4209;2150627;249;t24;2501778;622;19450;5;568801;3333
œwiêtokrzyskie;1265174;1011;521706;64;t26;612809;192;6482;1;124177;754
warmiñsko-mazurskie;1518163;979;626488;28;t28;729723;161;9925;31;152027;759
wielkopolskie;4212554;2609;1752893;158;t30;2011839;484;20515;6;427307;1961
zachodniopomorskie;2066648;1707;832797;98;t32;993808;338;10768;0;229275;1271
ca³y kraj;44239198;31508;18172240;1781;t00;21177713;5115;217512;266;4671733;24346
