wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;1963200;29873;700255;18537;t02
kujawsko-pomorskie;1251705;21681;434436;12207;t04
lubelskie;1168992;18051;447015;12031;t06
lubuskie;661465;10127;240451;6904;t08
³ódzkie;1593645;29902;578343;19949;t10
ma³opolskie;1969701;34559;693348;19193;t12
mazowieckie;3704622;57513;1309399;35425;t14
opolskie;602669;12397;224348;10406;t16
podkarpackie;1134184;15853;453234;12093;t18
podlaskie;750522;10218;298042;7790;t20
pomorskie;1595718;28883;596472;19403;t22
œl¹skie;2906510;49514;1046223;31898;t24
œwiêtokrzyskie;677227;12613;241578;8406;t26
warmiñsko-mazurskie;797837;13175;291423;7496;t28
wielkopolskie;2134728;39513;753853;20819;t30
zachodniopomorskie;1133101;18086;413272;11698;t32
ca³y kraj;24045826;401958;8721692;254255;t00
