wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2010500;15406;730889;12399;t02
kujawsko-pomorskie;1283911;11623;454388;9086;t04
lubelskie;1189408;9828;461621;8086;t06
lubuskie;680827;6078;253915;5209;t08
³ódzkie;1632453;12199;604966;10394;t10
ma³opolskie;2035319;17312;731510;13523;t12
mazowieckie;3814587;30826;1375369;22622;t14
opolskie;623351;6915;241239;6147;t16
podkarpackie;1158221;8319;472631;7214;t18
podlaskie;773600;6233;315799;5314;t20
pomorskie;1638964;18244;625937;15142;t22
œl¹skie;2984300;22845;1095548;17889;t24
œwiêtokrzyskie;694833;6499;253575;5660;t26
warmiñsko-mazurskie;816384;7135;303417;5792;t28
wielkopolskie;2187208;14939;780230;10563;t30
zachodniopomorskie;1163763;9013;436700;7539;t32
ca³y kraj;24687629;203414;9137734;162579;t00
