wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;6;0;2;0;t0;4;0;0;0;0;0
dolnoœl¹skie;3581023;18494;1447443;1270;t02;1694099;1726;16757;160;422724;15338
kujawsko-pomorskie;2419851;11974;973125;862;t04;1145876;1119;10753;77;290097;9916
lubelskie;2108708;10963;854159;1301;t06;1001420;1172;13644;95;239485;8395
lubuskie;1255962;6428;496874;571;t08;604912;864;5011;86;149165;4907
³ódzkie;2943529;16063;1201185;1065;t10;1383752;1620;17775;115;340817;13263
ma³opolskie;3746735;16761;1543172;1363;t12;1791964;1761;12129;51;399470;13586
mazowieckie;7090288;34537;2868214;3093;t14;3326275;3404;39565;297;856234;27743
opolskie;1048122;5199;429224;420;t16;498613;602;3779;40;116506;4137
podkarpackie;1908908;8345;781306;926;t18;920945;1063;7733;95;198924;6261
podlaskie;1293088;6014;526963;676;t20;616799;792;5154;28;144172;4518
pomorskie;2951693;15251;1199006;1238;t22;1390527;1648;13519;110;348641;12255
œl¹skie;5310387;24601;2155044;1529;t24;2508460;2200;18642;70;628241;20802
œwiêtokrzyskie;1281755;6681;523024;562;t26;614804;769;6292;81;137635;5269
warmiñsko-mazurskie;1541315;8033;628614;647;t28;732973;1058;9740;72;169988;6256
wielkopolskie;4269756;20600;1757565;1616;t30;2019318;2486;20090;109;472783;16389
zachodniopomorskie;2097263;10676;834861;755;t32;997165;1012;10415;71;254822;8838
ca³y kraj;44848389;220620;18219781;17894;t00;21247906;23296;210998;1557;5169704;177873
