wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;1985745;21840;712402;11819;t02
kujawsko-pomorskie;1267141;15156;442739;8203;t04
lubelskie;1177317;8117;452181;5091;t06
lubuskie;671734;9485;246759;5929;t08
³ódzkie;1611336;17186;588896;10227;t10
ma³opolskie;2006569;36625;712504;19082;t12
mazowieckie;3760055;53592;1340112;29867;t14
opolskie;611924;9044;231481;7071;t16
podkarpackie;1146254;11761;462713;9237;t18
podlaskie;759045;5405;304369;3735;t20
pomorskie;1616292;20191;608662;11950;t22
œl¹skie;2945657;37991;1068328;21817;t24
œwiêtokrzyskie;686046;8725;246742;5087;t26
warmiñsko-mazurskie;806188;7939;296013;4419;t28
wielkopolskie;2162464;27348;766507;12548;t30
zachodniopomorskie;1147014;13158;423162;9373;t32
ca³y kraj;24360781;303563;8903570;175455;t00
