wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;4110;0;796;0;
dolnośląskie;387803;2634;136711;703;t02
kujawsko-pomorskie;226301;1004;80843;102;t04
lubelskie;260637;1280;93835;126;t06
lubuskie;111501;422;40172;33;t08
łódzkie;305129;1310;113281;298;t10
małopolskie;376476;1568;132426;167;t12
mazowieckie;713788;3896;252176;295;t14
opolskie;115584;803;41536;100;t16
podkarpackie;230661;1063;81798;22;t18
podlaskie;149166;288;51431;5;t20
pomorskie;306449;2177;107186;580;t22
śląskie;488019;2426;172252;273;t24
świętokrzyskie;129203;241;46784;0;t26
warmińsko-mazurskie;162589;1190;54726;65;t28
wielkopolskie;392687;1832;133527;335;t30
zachodniopomorskie;196957;1396;70813;178;t32
cały kraj;4557060;23530;1610293;3282;t00
