wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;159;0;57;0;t0;83;0;0;0;19;0
dolnoœl¹skie;4176065;5210;1518471;1201;t02;1781386;553;15940;96;860268;3360
kujawsko-pomorskie;2830524;5269;1026304;1117;t04;1208957;546;11520;39;583743;3567
lubelskie;2416856;1991;897003;463;t06;1045593;268;12944;9;461316;1251
lubuskie;1458389;2641;525700;528;t08;639000;260;5093;32;288596;1821
³ódzkie;3415929;4629;1260735;1014;t10;1452622;582;17860;36;684712;2997
ma³opolskie;4355876;7967;1623877;2143;t12;1883038;887;13122;50;835839;4887
mazowieckie;8291458;11840;3029570;3110;t14;3517940;1411;38508;20;1705440;7299
opolskie;1220919;1420;453010;346;t16;524797;157;4676;2;238436;915
podkarpackie;2156609;1960;819209;621;t18;961842;286;7872;12;367686;1041
podlaskie;1472433;834;553483;185;t20;644942;115;5648;2;268360;532
pomorskie;3458206;7416;1264914;2473;t22;1475517;1008;14191;11;703584;3924
œl¹skie;6169823;10057;2256777;2725;t24;2632916;1243;19347;44;1260783;6045
œwiêtokrzyskie;1485976;2365;548447;571;t26;644143;291;6070;6;287316;1497
warmiñsko-mazurskie;1808971;2129;664325;558;t28;776527;264;9891;1;358228;1306
wielkopolskie;5044591;9753;1867195;2291;t30;2148026;1064;19375;17;1009995;6381
zachodniopomorskie;2434545;3173;876997;819;t32;1049230;408;10291;7;498027;1939
ca³y kraj;52197329;78654;19186074;20165;t00;22386559;9343;212348;384;10412348;48762
