wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;19;0;5;0;t0;10;0;0;0;4;0
dolnoœl¹skie;3815165;21253;1469407;1971;t02;1734715;2998;14627;62;596416;16222
kujawsko-pomorskie;2577024;16299;989494;1564;t04;1174759;2307;10453;55;402318;12373
lubelskie;2232468;12918;872273;1573;t06;1021781;1707;12188;38;326226;9600
lubuskie;1337582;8123;507021;919;t08;620960;1198;4792;10;204809;5996
³ódzkie;3126835;19225;1221192;2146;t10;1415205;2635;16314;62;474124;14382
ma³opolskie;3985673;24408;1569248;2412;t12;1836651;3164;11469;68;568305;18764
mazowieckie;7574057;45252;2916415;4647;t14;3423521;6343;35315;194;1198806;34068
opolskie;1120937;6795;438280;800;t16;511348;1107;3591;76;167718;4812
podkarpackie;2012794;11142;797151;1484;t18;940595;1522;7082;56;267966;8080
podlaskie;1369956;6790;538529;839;t20;629571;914;4952;19;196904;5018
pomorskie;3150006;17754;1217259;1779;t22;1429164;2556;12733;110;490850;13309
œl¹skie;5645069;34077;2186140;2816;t24;2565929;4258;16835;128;876165;26875
œwiêtokrzyskie;1360528;8401;532778;982;t26;627323;1151;5313;7;195114;6261
warmiñsko-mazurskie;1643835;9629;641417;1168;t28;752055;1280;9072;62;241291;7119
wielkopolskie;4551745;28521;1791167;3294;t30;2078940;4114;18131;42;663507;21071
zachodniopomorskie;2236871;13099;849194;1246;t32;1021783;1732;9653;41;356241;10080
ca³y kraj;47740564;283686;18536970;29640;t00;21784310;38986;192520;1030;7226764;214030
