wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;11;0;1;0;t0;2;0;0;0;8;0
dolnoœl¹skie;4290563;1953;1549253;526;t02;1794656;181;16619;9;930035;1237
kujawsko-pomorskie;2906829;1177;1047533;290;t04;1217103;104;11897;1;630296;782
lubelskie;2472426;964;911819;256;t06;1052438;112;13302;4;494867;592
lubuskie;1496020;746;536330;228;t08;643568;68;5326;9;310796;441
³ódzkie;3500252;1382;1285139;436;t10;1462795;125;18473;10;733845;811
ma³opolskie;4473630;2079;1652867;463;t12;1894544;165;13888;7;912331;1444
mazowieckie;8506235;3741;3088748;851;t14;3544595;335;39853;64;1833039;2491
opolskie;1251749;589;461925;204;t16;528424;74;4958;0;256442;311
podkarpackie;2200455;844;830961;200;t18;967356;107;8290;5;393848;532
podlaskie;1504130;451;562466;130;t20;649238;56;5982;18;286444;247
pomorskie;3557462;1703;1292031;384;t22;1487575;193;14651;3;763205;1123
œl¹skie;6326379;2583;2297357;593;t24;2650630;249;20208;8;1358184;1733
œwiêtokrzyskie;1524006;548;558707;178;t26;648700;79;6302;4;310297;287
warmiñsko-mazurskie;1867859;881;680072;308;t28;784303;82;10417;10;393067;481
wielkopolskie;5196047;1927;1908578;553;t30;2164392;159;19889;6;1103188;1209
zachodniopomorskie;2498024;1009;893825;266;t32;1056820;110;10469;2;536910;631
ca³y kraj;53572077;22577;19557612;5866;t00;22547139;2199;220524;160;11246802;14352
