data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2175;0
2020-12-28;4386;0
2020-12-29;10018;0
2020-12-30;20345;0
2020-12-31;10597;0
2021-01-01;1355;3
2021-01-02;2240;0
2021-01-03;648;0
2021-01-04;40627;1
2021-01-05;55369;2
2021-01-06;18759;0
2021-01-07;30383;0
2021-01-08;11825;1
2021-01-09;2262;0
2021-01-10;994;2
2021-01-11;47626;3
2021-01-12;63443;0
2021-01-13;55155;1
2021-01-14;46568;1
2021-01-15;26229;0
2021-01-16;20956;17
2021-01-17;12090;433
2021-01-18;28351;2934
2021-01-19;49495;8109
2021-01-20;51132;14446
2021-01-21;53056;14755
2021-01-22;38235;5252
2021-01-23;16841;1361
2021-01-24;5362;556
2021-01-25;73172;29473
2021-01-26;132783;48280
2021-01-27;104591;26547
2021-01-28;89529;29443
2021-01-29;43725;16118
2021-01-30;16279;3118
2021-01-31;8691;1388
2021-02-01;57124;33332
2021-02-02;114719;57399
2021-02-03;121888;55986
2021-02-04;107345;51572
2021-02-05;51995;29575
2021-02-06;24643;15689
2021-02-07;16387;10174
2021-02-08;33119;11744
2021-02-09;89907;20164
2021-02-10;113290;44813
2021-02-11;111683;58778
2021-02-12;75775;43683
2021-02-13;35623;15242
2021-02-14;14707;4863
2021-02-15;36284;11718
2021-02-16;71710;33782
2021-02-17;154502;85226
2021-02-18;174402;94466
2021-02-19;103268;50286
2021-02-20;36039;7708
2021-02-21;16064;3610
2021-02-22;43355;4119
2021-02-23;71884;20454
2021-02-24;160970;77018
2021-02-25;175012;90659
2021-02-26;103728;45659
2021-02-27;44819;11914
2021-02-28;18065;5824
2021-03-01;46189;5412
2021-03-02;82404;21725
2021-03-03;156908;68021
2021-03-04;174056;85905
2021-03-05;108805;44666
2021-03-06;49841;12076
2021-03-07;17996;5389
2021-03-08;34594;3682
2021-03-09;63930;8423
2021-03-10;143489;43028
2021-03-11;162916;68364
2021-03-12;95085;39533
2021-03-13;29994;6736
2021-03-14;11880;3040
2021-03-15;25809;3562
2021-03-16;47922;10725
2021-03-17;134059;43871
2021-03-18;155355;66639
2021-03-19;89399;38906
2021-03-20;29767;10278
2021-03-21;10658;3077
2021-03-22;51951;3973
2021-03-23;117955;19917
2021-03-24;192139;50129
2021-03-25;216487;71723
2021-03-26;162287;40675
2021-03-27;92199;15013
2021-03-28;35748;6928
2021-03-29;80141;9877
2021-03-30;117633;16083
2021-03-31;190989;20704
2021-04-01;205327;19482
2021-04-02;153049;11295
2021-04-03;36381;2755
2021-04-04;3334;351
2021-04-05;3876;527
2021-04-06;126173;8127
2021-04-07;220637;7353
2021-04-08;258639;5842
2021-04-09;220772;4701
2021-04-10;154572;4174
2021-04-11;44772;786
2021-04-12;106444;7021
2021-04-13;186920;23344
2021-04-14;254855;53849
2021-04-15;268098;59295
2021-04-16;201494;28312
2021-04-17;140844;11958
2021-04-18;39801;4024
2021-04-19;109486;13040
2021-04-20;203182;34281
2021-04-21;283123;74504
2021-04-22;306500;79471
2021-04-23;260203;46787
2021-04-24;206153;24507
2021-04-25;56065;9277
2021-04-26;139720;30846
2021-04-27;254043;58746
2021-04-28;345326;99407
2021-04-29;388085;108933
2021-04-30;357998;75019
2021-05-01;121974;15582
2021-05-02;59482;10174
2021-05-03;47163;5538
2021-05-04;234639;63237
2021-05-05;399182;122718
2021-05-06;424326;141856
2021-05-07;379319;124729
2021-05-08;258498;63622
2021-05-09;82430;14837
2021-05-10;188523;52534
2021-05-11;321209;109776
2021-05-12;434441;180985
2021-05-13;441765;193719
2021-05-14;373536;152265
2021-05-15;277826;110552
2021-05-16;90297;29639
2021-05-17;149137;50201
2021-05-18;331285;125814
2021-05-19;446071;185871
2021-05-20;445313;201110
2021-05-21;356830;155197
2021-05-22;241154;111067
2021-05-23;68083;35607
2021-05-24;135517;76864
2021-05-25;306009;158189
2021-05-26;397151;212083
2021-05-27;387013;232156
2021-05-28;349704;202327
2021-05-29;278530;151820
2021-05-30;91871;44165
2021-05-31;167652;98545
2021-06-01;466731;270299
2021-06-02;652177;401220
2021-06-03;140859;64659
2021-06-04;430872;256958
2021-06-05;271894;120469
2021-06-06;99104;40998
2021-06-07;203126;127609
2021-06-08;401064;242933
2021-06-09;507472;303031
2021-06-10;484986;297873
2021-06-11;425511;266466
2021-06-12;318713;182256
2021-06-13;102701;58845
2021-06-14;213954;168381
2021-06-15;375139;264399
2021-06-16;433893;280682
2021-06-17;402671;272504
2021-06-18;326071;220591
2021-06-19;220547;135796
2021-06-20;66475;43769
2021-06-21;168773;137569
2021-06-22;341612;262244
2021-06-23;400524;291565
2021-06-24;381059;283036
2021-06-25;309748;233748
2021-06-26;203125;134364
2021-06-27;61014;42194
2021-06-28;146298;115012
2021-06-29;288465;217678
2021-06-30;357144;254667
2021-07-01;299225;219907
2021-07-02;243476;175245
2021-07-03;172552;119302
2021-07-04;50576;34018
2021-07-05;118517;86481
2021-07-06;250832;207399
2021-07-07;341025;283037
2021-07-08;263621;202948
2021-07-09;255781;197272
2021-07-10;209615;167516
2021-07-11;63029;48721
2021-07-12;115097;82359
2021-07-13;216231;172556
2021-07-14;286249;226994
2021-07-15;257169;195071
2021-07-16;209572;150499
2021-07-17;157500;113822
2021-07-18;41807;25838
2021-07-19;83775;50720
2021-07-20;164254;118252
2021-07-21;209911;156374
2021-07-22;179434;126196
2021-07-23;156026;102177
2021-07-24;97683;61518
2021-07-25;29659;14250
2021-07-26;72078;41777
2021-07-27;114606;71157
2021-07-28;141085;87812
2021-07-29;133789;82566
2021-07-30;120019;69845
2021-07-31;78299;40773
2021-08-01;32046;7810
2021-08-02;52377;25201
2021-08-03;81725;42686
2021-08-04;107809;60680
2021-08-05;108765;60333
2021-08-06;102449;53451
2021-08-07;59979;27688
2021-08-08;18995;5323
2021-08-09;46374;21165
2021-08-10;67665;32926
2021-08-11;80043;39663
2021-08-12;78669;39581
2021-08-13;75896;39826
2021-08-14;38738;16892
