wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;743;6;314;5;t0;378;1;0;0;51;0
dolnoœl¹skie;3972622;11618;1490694;1481;t02;1755039;1481;15025;69;711864;8587
kujawsko-pomorskie;2687467;8118;1004943;796;t04;1189330;1241;11153;22;482041;6059
lubelskie;2309893;5803;882605;585;t06;1032001;819;12513;39;382774;4360
lubuskie;1389828;3357;514927;304;t08;628729;530;4904;4;241268;2519
³ódzkie;3253008;8437;1237988;1054;t10;1431700;1132;16870;50;566450;6201
ma³opolskie;4153707;11674;1593619;1306;t12;1857512;1597;12225;46;690351;8725
mazowieckie;7901413;21273;2970784;3264;t14;3468433;2664;36416;81;1425780;15264
opolskie;1166144;3020;444806;383;t16;517159;361;4149;19;200030;2257
podkarpackie;2077340;3897;806729;490;t18;950268;556;7373;28;312970;2823
podlaskie;1415647;2851;545453;325;t20;636276;442;5289;19;228629;2065
pomorskie;3285412;8980;1237136;1018;t22;1451154;1205;13419;70;583703;6687
œl¹skie;5881787;15934;2215989;1735;t24;2595179;2032;18229;48;1052390;12119
œwiêtokrzyskie;1413573;3291;539053;320;t26;634306;469;5500;52;234714;2450
warmiñsko-mazurskie;1712618;5084;650955;487;t28;762505;816;9369;5;289789;3776
wielkopolskie;4769512;13793;1824980;1758;t30;2110112;1801;18390;22;816030;10212
zachodniopomorskie;2325202;6760;861617;920;t32;1034110;849;9931;83;419544;4908
ca³y kraj;49715916;133896;18822592;16231;t00;22054191;17996;200755;657;8638378;99012
