wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;6;0;1;0;t0;1;0;0;0;4;0
dolnoœl¹skie;4334746;15;1557587;0;t02;1799187;0;16944;0;961028;15
kujawsko-pomorskie;2930985;0;1052715;0;t04;1219702;0;12042;0;646526;0
lubelskie;2489107;0;915677;0;t06;1054603;0;13497;0;505330;0
lubuskie;1509051;1;539022;0;t08;645032;0;5383;0;319614;1
³ódzkie;3529022;5;1291164;0;t10;1465790;0;18792;0;753276;5
ma³opolskie;4524328;55;1661058;3;t12;1899351;2;14155;0;949764;50
mazowieckie;8595859;66;3105171;5;t14;3556299;7;40752;0;1893637;54
opolskie;1263054;0;464432;0;t16;529859;0;5030;0;263733;0
podkarpackie;2215386;0;834210;0;t18;969363;0;8415;0;403398;0
podlaskie;1514501;0;564716;0;t20;650850;0;6098;0;292837;0
pomorskie;3595630;14;1299426;1;t22;1491751;0;14929;0;789524;13
œl¹skie;6391121;15;2308938;0;t24;2656812;0;20682;0;1404689;15
œwiêtokrzyskie;1534981;6;561229;0;t26;649986;0;6253;0;317513;6
warmiñsko-mazurskie;1883852;0;683780;0;t28;785961;0;10516;0;403595;0
wielkopolskie;5277122;8;1919234;0;t30;2199013;8;20384;0;1138491;0
zachodniopomorskie;2520081;0;898255;0;t32;1059299;0;10625;0;551902;0
ca³y kraj;54108832;185;19656615;9;t00;22632859;17;224497;0;11594861;159
