wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2434981;20196;1046916;15323;t02
kujawsko-pomorskie;1572586;12703;650885;9046;t04
lubelskie;1402328;9934;616023;6918;t06
lubuskie;822589;6110;360064;4391;t08
³ódzkie;1972629;17161;850455;12954;t10
ma³opolskie;2474100;22125;1028862;15940;t12
mazowieckie;4646035;36969;1965814;28221;t14
opolskie;739613;4371;332114;3208;t16
podkarpackie;1333028;7280;607420;5044;t18
podlaskie;894968;3971;407686;2516;t20
pomorskie;1968150;14595;855138;9487;t22
œl¹skie;3603796;27170;1539503;20546;t24
œwiêtokrzyskie;840300;6789;355882;4778;t26
warmiñsko-mazurskie;989938;7335;418557;4937;t28
wielkopolskie;2713767;24853;1120049;17144;t30
zachodniopomorskie;1382637;10638;594893;7685;t32
ca³y kraj;29791445;232200;12750261;168138;t00
