wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2897924;4307;1355136;2334;t02
kujawsko-pomorskie;1946730;3696;906239;2191;t04
lubelskie;1660681;3279;775248;1675;t06
lubuskie;987902;1608;460698;787;t08
³ódzkie;2372800;3761;1116696;2160;t10
ma³opolskie;3069182;5254;1435064;2943;t12
mazowieckie;5634666;9827;2645637;4972;t14
opolskie;853284;1408;402682;719;t16
podkarpackie;1546111;2855;722884;1547;t18
podlaskie;1028937;1712;484090;803;t20
pomorskie;2368891;4003;1114538;1931;t22
œl¹skie;4316885;6394;2019868;3488;t24
œwiêtokrzyskie;1035688;2495;481494;1568;t26
warmiñsko-mazurskie;1232361;3085;575721;1616;t28
wielkopolskie;3436470;6019;1624726;3376;t30
zachodniopomorskie;1664960;2816;774215;1502;t32
ca³y kraj;36053472;62519;16894936;33612;t00
