wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;41;0;18;0;t0;23;0;0;0;0;0
dolnoœl¹skie;3375245;13640;1435537;264;t02;1668219;1617;18486;189;253003;11570
kujawsko-pomorskie;2271721;10075;964900;196;t04;1128003;1170;13092;94;165726;8615
lubelskie;1990134;8901;841066;472;t06;985661;1319;15008;156;148399;6954
lubuskie;1176063;5006;491569;118;t08;590457;800;5505;8;88532;4080
³ódzkie;2766106;12961;1190205;350;t10;1362102;1368;19908;207;193891;11036
ma³opolskie;3544439;12925;1529256;390;t12;1765364;1659;13770;149;236049;10727
mazowieckie;6668790;28746;2837355;907;t14;3274466;3379;42428;292;514541;24168
opolskie;985088;4702;425091;144;t16;489534;684;4697;55;65766;3819
podkarpackie;1806340;7894;772880;244;t18;904269;1154;8857;84;120334;6412
podlaskie;1219914;5667;519619;207;t20;605059;969;6030;37;89206;4454
pomorskie;2778344;11653;1188021;271;t22;1367934;1400;14586;162;207803;9820
œl¹skie;4999482;24108;2137872;517;t24;2474273;2490;20745;124;366592;20977
œwiêtokrzyskie;1208174;5429;517858;185;t26;605253;731;6587;96;78476;4417
warmiñsko-mazurskie;1450395;6221;620994;146;t28;719440;866;9848;41;100113;5168
wielkopolskie;4018378;15729;1740468;378;t30;1981585;2118;22317;118;274008;13115
zachodniopomorskie;1968112;9006;826765;192;t32;979999;1164;10934;66;150414;7584
ca³y kraj;42226766;182663;18039474;4981;t00;20901641;22888;232798;1878;3052853;152916
