wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;256;0;125;0;t0
dolnoœl¹skie;1661827;14852;524783;9390;t02
kujawsko-pomorskie;1029589;9270;312263;5194;t04
lubelskie;995428;6076;335012;3744;t06
lubuskie;551907;2825;172167;2134;t08
³ódzkie;1330869;7176;413964;4000;t10
ma³opolskie;1633993;14541;520319;8100;t12
mazowieckie;3092986;29313;994201;13917;t14
opolskie;501223;3373;149303;2969;t16
podkarpackie;972517;5262;334023;3868;t18
podlaskie;637674;3668;213430;2715;t20
pomorskie;1324858;14148;414513;9475;t22
œl¹skie;2400127;19732;748490;10317;t24
œwiêtokrzyskie;562757;3839;171933;2167;t26
warmiñsko-mazurskie;665522;5108;213624;3719;t28
wielkopolskie;1767113;15195;558339;8675;t30
zachodniopomorskie;955973;9085;300780;5569;t32
ca³y kraj;20084619;163463;6377269;95953;t00
