data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2176;0
2020-12-28;4387;0
2020-12-29;10024;0
2020-12-30;20346;0
2020-12-31;10603;0
2021-01-01;1354;2
2021-01-02;2240;0
2021-01-03;648;0
2021-01-04;40640;1
2021-01-05;55414;2
2021-01-06;18767;0
2021-01-07;30379;0
2021-01-08;11836;1
2021-01-09;2261;0
2021-01-10;994;2
2021-01-11;47647;3
2021-01-12;63480;0
2021-01-13;55161;1
2021-01-14;46581;1
2021-01-15;26269;0
2021-01-16;20958;17
2021-01-17;12091;433
2021-01-18;28394;2937
2021-01-19;49516;8110
2021-01-20;51150;14452
2021-01-21;53081;14763
2021-01-22;38242;5255
2021-01-23;16855;1362
2021-01-24;5366;556
2021-01-25;73223;29480
2021-01-26;132929;48315
2021-01-27;104738;26547
2021-01-28;89565;29450
2021-01-29;43732;16112
2021-01-30;16278;3118
2021-01-31;8696;1389
2021-02-01;57126;33335
2021-02-02;114766;57418
2021-02-03;121914;56002
2021-02-04;107376;51593
2021-02-05;52045;29625
2021-02-06;24650;15693
2021-02-07;16393;10176
2021-02-08;33121;11746
2021-02-09;89927;20172
2021-02-10;113362;44868
2021-02-11;111698;58787
2021-02-12;75786;43692
2021-02-13;35627;15245
2021-02-14;14712;4868
2021-02-15;36286;11722
2021-02-16;71737;33812
2021-02-17;154676;85362
2021-02-18;174488;94539
2021-02-19;103289;50296
2021-02-20;36041;7710
2021-02-21;16068;3612
2021-02-22;43461;4119
2021-02-23;71971;20543
2021-02-24;160995;77038
2021-02-25;175037;90681
2021-02-26;103733;45663
2021-02-27;44819;11916
2021-02-28;18066;5824
2021-03-01;46182;5412
2021-03-02;82469;21790
2021-03-03;156914;68023
2021-03-04;174059;85897
2021-03-05;108796;44674
2021-03-06;49864;12079
2021-03-07;17998;5390
2021-03-08;34596;3682
2021-03-09;63944;8425
2021-03-10;143495;43042
2021-03-11;162987;68377
2021-03-12;95115;39554
2021-03-13;29984;6730
2021-03-14;11881;3040
2021-03-15;25818;3565
2021-03-16;47922;10725
2021-03-17;134065;43873
2021-03-18;155385;66660
2021-03-19;89422;38920
2021-03-20;29770;10279
2021-03-21;10658;3078
2021-03-22;51956;3974
2021-03-23;118045;19935
2021-03-24;192160;50144
2021-03-25;216497;71739
2021-03-26;162313;40683
2021-03-27;92217;15015
2021-03-28;35742;6923
2021-03-29;80148;9877
2021-03-30;117661;16089
2021-03-31;190991;20708
2021-04-01;205351;19490
2021-04-02;153056;11296
2021-04-03;36400;2755
2021-04-04;3340;351
2021-04-05;3884;527
2021-04-06;126210;8133
2021-04-07;220667;7353
2021-04-08;258653;5842
2021-04-09;220774;4702
2021-04-10;154609;4175
2021-04-11;44776;786
2021-04-12;106503;7024
2021-04-13;186927;23349
2021-04-14;254879;53868
2021-04-15;268130;59302
2021-04-16;201513;28320
2021-04-17;140841;11959
2021-04-18;39802;4024
2021-04-19;109519;13056
2021-04-20;203224;34291
2021-04-21;283203;74520
2021-04-22;306515;79473
2021-04-23;260220;46793
2021-04-24;206163;24508
2021-04-25;56070;9277
2021-04-26;139730;30847
2021-04-27;254068;58758
2021-04-28;345405;99422
2021-04-29;388216;108955
2021-04-30;358029;75037
2021-05-01;121984;15583
2021-05-02;59475;10173
