wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;104;16;0;0;t0
dolnoœl¹skie;2568942;2910;1150073;1984;t02
kujawsko-pomorskie;1681965;3093;737792;2386;t04
lubelskie;1466334;2084;664119;1601;t06
lubuskie;866680;1218;393787;939;t08
³ódzkie;2080719;3712;935055;2887;t10
ma³opolskie;2645201;7390;1162952;5090;t12
mazowieckie;4947351;15349;2207732;13440;t14
opolskie;771703;252;355521;62;t16
podkarpackie;1382802;1009;641039;353;t18
podlaskie;928522;416;431641;280;t20
pomorskie;2069351;2225;931622;1512;t22
œl¹skie;3821704;7098;1712037;5543;t24
œwiêtokrzyskie;891319;1885;393846;1421;t26
warmiñsko-mazurskie;1053510;1941;467948;1576;t28
wielkopolskie;2902183;8289;1268559;7305;t30
zachodniopomorskie;1457088;1547;650799;1231;t32
ca³y kraj;31535478;60434;14104522;47610;t00
