wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;16;0;3;0;t0;13;0;0;0;0;0
dolnoœl¹skie;3491612;17225;1441700;936;t02;1683387;1853;17095;213;349430;14223
kujawsko-pomorskie;2358393;12542;969159;799;t04;1138833;1394;11529;172;238872;10177
lubelskie;2059638;12008;848518;1264;t06;995295;1440;14666;190;201159;9114
lubuskie;1223138;5647;494279;340;t08;599380;840;5218;7;124261;4460
³ódzkie;2869656;15856;1196199;949;t10;1374868;1663;18632;121;279957;13123
ma³opolskie;3663808;16658;1536500;1075;t12;1781349;2095;12443;59;333516;13429
mazowieckie;6917414;34081;2853978;2567;t14;3305347;3844;40175;171;717914;27499
opolskie;1021499;6011;427075;385;t16;494923;754;3849;41;95652;4831
podkarpackie;1867839;10176;777387;747;t18;914489;1443;7989;115;167974;7871
podlaskie;1263823;6813;523618;678;t20;612355;981;5411;89;122439;5065
pomorskie;2876740;14484;1193589;887;t22;1381144;1610;13846;74;288161;11913
œl¹skie;5183167;26703;2146919;1536;t24;2494956;2723;19679;124;521613;22320
œwiêtokrzyskie;1251384;6854;520687;524;t26;610869;803;6408;124;113420;5403
warmiñsko-mazurskie;1502090;8619;625035;558;t28;727273;1113;9709;133;140073;6815
wielkopolskie;4166312;19617;1749252;1366;t30;2004310;2869;20611;58;392139;15324
zachodniopomorskie;2043705;10931;831102;716;t32;990545;1412;10899;206;211159;8597
ca³y kraj;43760234;224225;18135000;15327;t00;21109336;26837;218159;1897;4297739;180164
