wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2824717;1053;1318804;156;t02
kujawsko-pomorskie;1891052;926;879294;275;t04
lubelskie;1609232;363;751221;17;t06
lubuskie;956365;534;447336;127;t08
³ódzkie;2305160;1242;1082921;327;t10
ma³opolskie;2979805;1751;1388765;493;t12
mazowieckie;5476401;2854;2566615;1191;t14
opolskie;832800;66;392930;13;t16
podkarpackie;1495236;813;699343;63;t18
podlaskie;998691;311;470759;31;t20
pomorskie;2299623;914;1082497;225;t22
œl¹skie;4204655;1696;1965601;741;t24
œwiêtokrzyskie;1000710;1317;464164;252;t26
warmiñsko-mazurskie;1190247;981;556733;202;t28
wielkopolskie;3327978;2018;1569221;609;t30
zachodniopomorskie;1614937;696;750550;180;t32
ca³y kraj;35007634;17535;16386754;4902;t00
