wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2819594;6403;1316787;3582;t02
kujawsko-pomorskie;1885467;5348;876832;3023;t04
lubelskie;1606561;4830;750307;2547;t06
lubuskie;953334;2949;446139;1301;t08
³ódzkie;2299964;6464;1080662;3591;t10
ma³opolskie;2972204;9357;1385283;4976;t12
mazowieckie;5464716;13519;2561254;7167;t14
opolskie;831256;2096;392137;1037;t16
podkarpackie;1492211;4079;698253;1881;t18
podlaskie;997456;2370;470434;1093;t20
pomorskie;2293735;6293;1080186;3349;t22
œl¹skie;4196708;10039;1961883;5554;t24
œwiêtokrzyskie;997543;3657;463107;1936;t26
warmiñsko-mazurskie;1187143;3813;555730;2025;t28
wielkopolskie;3317164;9982;1564912;5406;t30
zachodniopomorskie;1610378;4882;748625;2376;t32
ca³y kraj;34925459;96081;16352531;50844;t00
