wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnoœl¹skie;boles³awiecki;68747;143;31033;73;t0201
dolnoœl¹skie;dzier¿oniowski;64669;117;30379;40;t0202
dolnoœl¹skie;g³ogowski;60433;184;27331;88;t0203
dolnoœl¹skie;górowski;25530;34;11503;14;t0204
dolnoœl¹skie;jaworski;37156;3;16758;3;t0205
dolnoœl¹skie;jeleniogórski;48640;58;22750;34;t0206
dolnoœl¹skie;kamiennogórski;29398;67;13779;36;t0207
dolnoœl¹skie;k³odzki;121327;510;56822;252;t0208
dolnoœl¹skie;legnicki;42305;234;18863;81;t0209
dolnoœl¹skie;lubañski;28161;83;11828;26;t0210
dolnoœl¹skie;lubiñski;119779;321;57170;153;t0211
dolnoœl¹skie;lwówecki;39198;68;18203;49;t0212
dolnoœl¹skie;milicki;32307;26;15073;7;t0213
dolnoœl¹skie;oleœnicki;89377;223;40279;116;t0214
dolnoœl¹skie;o³awski;44053;81;21255;70;t0215
dolnoœl¹skie;polkowicki;39706;79;17295;17;t0216
dolnoœl¹skie;strzeliñski;35490;103;16576;60;t0217
dolnoœl¹skie;œredzki;20883;74;9877;41;t0218
dolnoœl¹skie;œwidnicki;95002;218;43736;116;t0219
dolnoœl¹skie;trzebnicki;56466;128;26829;10;t0220
dolnoœl¹skie;wa³brzyski;30113;6;14211;5;t0221
dolnoœl¹skie;wo³owski;40300;91;18074;41;t0222
dolnoœl¹skie;wroc³awski;98739;77;46930;29;t0223
dolnoœl¹skie;z¹bkowicki;52446;66;24654;38;t0224
dolnoœl¹skie;zgorzelecki;54831;377;24841;169;t0225
dolnoœl¹skie;z³otoryjski;32710;57;14522;11;t0226
dolnoœl¹skie;Jelenia Góra;85292;188;41023;97;t0261
dolnoœl¹skie;Legnica;85182;180;40084;114;t0262
dolnoœl¹skie;Wroc³aw;1012820;1168;476607;713;t0264
dolnoœl¹skie;Wa³brzych;204822;309;95840;111;t0265
kujawsko-pomorskie;aleksandrowski;129104;195;61333;128;t0401
kujawsko-pomorskie;brodnicki;67509;244;31406;157;t0402
