wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;257;0;126;0;t0
dolnoœl¹skie;1751313;50730;579170;31783;t02
kujawsko-pomorskie;1093430;36298;348019;21786;t04
lubelskie;1048304;31054;368068;20168;t06
lubuskie;580939;16491;190011;10673;t08
³ódzkie;1404812;40944;460753;27262;t10
ma³opolskie;1722185;53006;570833;30919;t12
mazowieckie;3259639;95242;1083563;51686;t14
opolskie;528430;15618;167951;11033;t16
podkarpackie;1015394;24610;363775;17486;t18
podlaskie;668033;16747;235140;12116;t20
pomorskie;1393563;38915;462791;27722;t22
œl¹skie;2545757;83062;829327;47040;t24
œwiêtokrzyskie;594977;17701;191743;11214;t26
warmiñsko-mazurskie;702551;21476;235270;12527;t28
wielkopolskie;1861828;52890;612293;31111;t30
zachodniopomorskie;1003134;26050;330552;16859;t32
ca³y kraj;21174546;620834;7029385;381385;t00
