data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2158;0
2020-12-28;4357;0
2020-12-29;10001;0
2020-12-30;20295;0
2020-12-31;10582;0
2021-01-01;1352;2
2021-01-02;2232;0
2021-01-03;644;0
2021-01-04;40507;1
2021-01-05;55237;2
2021-01-06;18715;0
2021-01-07;30295;0
2021-01-08;11809;1
2021-01-09;2257;0
2021-01-10;993;2
2021-01-11;47544;3
2021-01-12;63333;0
2021-01-13;55070;1
2021-01-14;46534;1
2021-01-15;26235;1
2021-01-16;20974;17
2021-01-17;12067;434
2021-01-18;28364;2939
2021-01-19;49493;8118
2021-01-20;51204;14466
2021-01-21;53045;14773
2021-01-22;38217;5261
2021-01-23;16860;1362
2021-01-24;5357;557
2021-01-25;73178;29513
2021-01-26;132776;48359
2021-01-27;104641;26561
2021-01-28;89474;29478
2021-01-29;43712;16120
2021-01-30;16248;3121
2021-01-31;8684;1389
2021-02-01;57107;33351
2021-02-02;114638;57455
2021-02-03;121777;56029
2021-02-04;107300;51624
2021-02-05;52053;29644
2021-02-06;24655;15713
2021-02-07;16393;10181
2021-02-08;33081;11752
2021-02-09;89804;20213
2021-02-10;113301;44972
2021-02-11;111646;58830
2021-02-12;75794;43733
2021-02-13;35619;15260
2021-02-14;14709;4874
2021-02-15;36287;11731
2021-02-16;71784;33885
2021-02-17;154852;85613
2021-02-18;174492;94701
2021-02-19;103319;50379
2021-02-20;36031;7718
2021-02-21;16056;3614
2021-02-22;43432;4126
2021-02-23;71943;20569
2021-02-24;160906;77117
2021-02-25;174955;90743
2021-02-26;103699;45702
2021-02-27;44819;11924
2021-02-28;18068;5833
2021-03-01;46172;5416
2021-03-02;82552;21826
2021-03-03;156837;68070
2021-03-04;174000;85959
2021-03-05;108778;44702
2021-03-06;49863;12086
2021-03-07;18001;5390
2021-03-08;34596;3683
2021-03-09;63938;8431
2021-03-10;143525;43064
2021-03-11;163003;68423
2021-03-12;95160;39596
2021-03-13;29996;6739
2021-03-14;11882;3042
2021-03-15;25834;3568
2021-03-16;47926;10735
2021-03-17;134085;43905
2021-03-18;155428;66707
2021-03-19;89474;38968
2021-03-20;29781;10284
2021-03-21;10659;3079
2021-03-22;51965;3978
2021-03-23;118082;19958
2021-03-24;192188;50179
2021-03-25;216604;71817
2021-03-26;162349;40721
2021-03-27;92229;15030
2021-03-28;35749;6929
2021-03-29;80158;9878
2021-03-30;117690;16103
2021-03-31;191029;20719
2021-04-01;205400;19502
2021-04-02;153228;11305
2021-04-03;36403;2757
2021-04-04;3342;352
2021-04-05;3885;527
2021-04-06;126233;8141
2021-04-07;220737;7364
2021-04-08;258674;5843
2021-04-09;220792;4704
2021-04-10;154627;4179
2021-04-11;44780;786
2021-04-12;106524;7025
2021-04-13;186963;23356
2021-04-14;254909;53879
2021-04-15;268158;59303
2021-04-16;201485;28273
2021-04-17;140847;11960
2021-04-18;39812;4035
2021-04-19;109554;13074
2021-04-20;203240;34285
2021-04-21;283261;74544
2021-04-22;306584;79489
2021-04-23;260251;46807
2021-04-24;206171;24518
2021-04-25;56085;9285
2021-04-26;139763;30853
2021-04-27;254096;58769
2021-04-28;345461;99445
2021-04-29;388311;108974
2021-04-30;358081;75056
2021-05-01;121995;15586
2021-05-02;59488;10175
2021-05-03;47173;5542
2021-05-04;234700;63269
2021-05-05;399349;122742
