wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;18;0;3;0;t0;8;0;0;0;7;0
dolnoœl¹skie;4279522;2232;1546369;626;t02;1793529;213;16573;25;923051;1368
kujawsko-pomorskie;2900196;1341;1045738;449;t04;1216504;147;11866;7;626088;738
lubelskie;2467840;1265;910411;316;t06;1051876;178;13267;5;492286;766
lubuskie;1492595;830;535292;329;t08;643176;78;5307;16;308820;407
³ódzkie;3492945;1698;1282779;638;t10;1462025;180;18421;3;729720;877
ma³opolskie;4461893;2463;1650326;625;t12;1893338;214;13819;18;904410;1606
mazowieckie;8485720;4101;3083801;1073;t14;3542009;504;39663;35;1820247;2489
opolskie;1248896;651;461067;155;t16;528088;49;4949;1;254792;446
podkarpackie;2196337;1004;829856;242;t18;966796;104;8253;5;391432;653
podlaskie;1501350;632;561738;197;t20;648781;49;5956;33;284875;353
pomorskie;3547150;1987;1289300;581;t22;1486506;218;14624;4;756720;1184
œl¹skie;6309791;3372;2293145;905;t24;2648904;334;20106;13;1347636;2120
œwiêtokrzyskie;1521208;815;557914;238;t26;648354;98;6294;1;308646;478
warmiñsko-mazurskie;1862860;1224;678475;494;t28;783686;115;10382;12;390317;603
wielkopolskie;5183346;2614;1905167;833;t30;2162692;247;19834;5;1095653;1529
zachodniopomorskie;2492611;1274;892402;423;t32;1056224;120;10448;1;533537;730
ca³y kraj;53444278;27503;19523783;8124;t00;22532496;2848;219762;184;11168237;16347
