wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
woj_puste;pow_puste;310;0;128;0;t00;164;0;0;0;18;0
dolnoœl¹skie;boles³awiecki;100525;42;36718;1;t0201;46018;0;136;0;17653;41
dolnoœl¹skie;dzier¿oniowski;97012;454;35719;0;t0202;41327;2;120;1;19846;451
dolnoœl¹skie;g³ogowski;97682;317;33449;5;t0203;40991;42;165;1;23077;269
dolnoœl¹skie;górowski;35785;236;13391;23;t0204;16131;23;61;0;6202;190
dolnoœl¹skie;jaworski;56013;34;19741;0;t0205;24656;7;37;0;11579;27
dolnoœl¹skie;jeleniogórski;69044;2;25624;0;t0206;31078;1;400;0;11942;1
dolnoœl¹skie;kamiennogórski;45442;0;16484;0;t0207;19035;0;98;0;9825;0
dolnoœl¹skie;k³odzki;178124;716;65805;21;t0208;76499;53;908;2;34912;640
dolnoœl¹skie;legnicki;60193;90;21320;7;t0209;26990;11;263;0;11620;72
dolnoœl¹skie;lubañski;43302;0;14129;0;t0210;19813;0;107;0;9253;0
dolnoœl¹skie;lubiñski;169136;125;64929;13;t0211;72649;24;968;0;30590;88
dolnoœl¹skie;lwówecki;59325;279;21828;4;t0212;26035;49;311;0;11151;226
dolnoœl¹skie;milicki;46364;239;17913;9;t0213;20453;27;107;0;7891;203
dolnoœl¹skie;oleœnicki;151502;988;52553;33;t0214;65023;165;449;1;33477;789
dolnoœl¹skie;o³awski;55730;25;22446;0;t0215;25629;1;98;0;7557;24
dolnoœl¹skie;polkowicki;57947;0;20399;0;t0216;26550;0;46;0;10952;0
dolnoœl¹skie;strzeliñski;50572;0;19178;0;t0217;22114;0;512;0;8768;0
dolnoœl¹skie;œredzki;35233;99;12043;3;t0218;14051;17;479;0;8660;79
dolnoœl¹skie;œwidnicki;150738;883;52624;23;t0219;63242;129;1007;14;33865;717
dolnoœl¹skie;trzebnicki;82360;325;31800;21;t0220;34407;45;400;0;15753;259
dolnoœl¹skie;wa³brzyski;42978;25;16401;0;t0221;18160;3;254;0;8163;22
dolnoœl¹skie;wo³owski;59291;35;21031;6;t0222;27321;11;304;0;10635;18
dolnoœl¹skie;wroc³awski;145885;986;54388;51;t0223;62048;141;1161;1;28288;793
dolnoœl¹skie;z¹bkowicki;76702;148;28379;6;t0224;33822;20;318;0;14183;122
dolnoœl¹skie;zgorzelecki;86652;221;30197;8;t0225;38032;38;215;0;18208;175
dolnoœl¹skie;z³otoryjski;49950;0;17478;0;t0226;21803;0;210;0;10459;0
dolnoœl¹skie;Jelenia Góra;127525;100;47862;3;t0261;53047;2;454;0;26162;95
dolnoœl¹skie;Legnica;126544;234;46542;8;t0262;54727;26;447;1;24828;199
dolnoœl¹skie;Wroc³aw;1425333;2937;534356;118;t0264;622290;504;4466;5;264221;2310
dolnoœl¹skie;Wa³brzych;265446;294;104167;3;t0265;121027;22;789;0;39463;269
kujawsko-pomorskie;aleksandrowski;154828;0;65853;0;t0401;72549;0;522;0;15904;0
kujawsko-pomorskie;brodnicki;99675;47;37995;0;t0402;43904;6;1226;0;16550;41
kujawsko-pomorskie;bydgoski;105941;405;40445;22;t0403;45460;81;385;1;19651;301
kujawsko-pomorskie;che³miñski;59288;95;21926;2;t0404;25068;1;44;0;12250;92
kujawsko-pomorskie;golubsko-dobrzyñski;45307;249;18112;2;t0405;20935;10;340;0;5920;237
kujawsko-pomorskie;grudzi¹dzki;35226;0;13292;0;t0406;16243;0;21;0;5670;0
kujawsko-pomorskie;inowroc³awski;140201;344;53700;17;t0407;60687;110;489;0;25325;217
kujawsko-pomorskie;lipnowski;72344;84;27500;4;t0408;32552;14;335;1;11957;65
kujawsko-pomorskie;mogileñski;50270;15;17978;0;t0409;21265;2;185;0;10842;13
kujawsko-pomorskie;nakielski;119716;982;42259;101;t0410;54808;159;509;5;22140;717
kujawsko-pomorskie;radziejowski;56171;28;22454;0;t0411;25424;8;644;1;7649;19
kujawsko-pomorskie;rypiñski;50201;0;18878;0;t0412;21730;0;89;0;9504;0
kujawsko-pomorskie;sêpoleñski;63062;0;24155;0;t0413;29295;0;118;0;9494;0
kujawsko-pomorskie;œwiecki;111074;247;40569;5;t0414;48949;35;395;0;21161;207
kujawsko-pomorskie;toruñski;91794;129;34379;8;t0415;43655;20;426;0;13334;101
kujawsko-pomorskie;tucholski;52903;328;20024;12;t0416;23690;26;195;2;8994;288
kujawsko-pomorskie;w¹brzeski;37619;50;14197;0;t0417;17327;32;191;18;5904;0
kujawsko-pomorskie;w³oc³awski;86678;160;34216;7;t0418;37986;9;271;0;14205;144
kujawsko-pomorskie;¿niñski;67497;448;27302;22;t0419;30436;30;494;92;9265;304
kujawsko-pomorskie;Bydgoszcz;621638;2114;222085;105;t0461;262830;292;1637;0;135086;1717
kujawsko-pomorskie;Grudzi¹dz;167843;233;62908;36;t0462;75126;34;597;0;29212;163
kujawsko-pomorskie;Toruñ;301645;1164;101457;61;t0463;123492;188;1112;0;75584;915
kujawsko-pomorskie;W³oc³awek;145017;247;48281;3;t0464;62533;31;1181;0;33022;213
lubelskie;bialski;85697;90;31785;0;t0601;38239;6;640;0;15033;84
lubelskie;bi³gorajski;77203;68;29205;12;t0602;33206;10;74;0;14718;46
lubelskie;che³mski;50346;21;19415;0;t0603;21706;3;320;0;8905;18
lubelskie;hrubieszowski;63630;0;23457;0;t0604;28059;0;1320;0;10794;0
lubelskie;janowski;41577;68;16465;0;t0605;18904;10;528;0;5680;58
lubelskie;krasnostawski;58753;126;21504;6;t0606;25313;9;555;0;11381;111
lubelskie;kraœnicki;93687;172;36059;22;t0607;40848;15;415;1;16365;134
lubelskie;lubartowski;77946;33;30214;1;t0608;34354;8;1315;0;12063;24
lubelskie;lubelski;118942;294;44329;5;t0609;53284;52;756;1;20573;236
lubelskie;³êczyñski;53910;25;21479;0;t0610;23607;6;579;0;8245;19
lubelskie;³ukowski;80558;248;30877;12;t0611;36104;69;234;0;13343;167
lubelskie;opolski;64047;96;24200;3;t0612;28627;14;249;0;10971;79
lubelskie;parczewski;38912;38;14634;1;t0613;17458;3;492;0;6328;34
lubelskie;pu³awski;134688;132;51971;5;t0614;57963;21;457;0;24297;106
lubelskie;radzyñski;43606;8;16764;0;t0615;19249;3;226;0;7367;5
lubelskie;rycki;72768;92;28495;6;t0616;31301;25;427;0;12545;61
lubelskie;œwidnicki;69329;49;25507;0;t0617;28390;3;147;0;15285;46
lubelskie;tomaszowski;76455;227;29002;5;t0618;34519;37;284;0;12650;185
lubelskie;w³odawski;46778;53;17876;0;t0619;20778;2;161;0;7963;51
lubelskie;zamojski;67516;41;26639;1;t0620;28412;3;292;0;12173;37
lubelskie;Bia³a Podlaska;99121;101;38111;2;t0661;44410;24;158;1;16442;74
lubelskie;Che³m;91802;190;33282;13;t0662;41000;21;170;0;17350;156
lubelskie;Lublin;619423;1119;227810;77;t0663;276636;171;2645;1;112332;870
lubelskie;Zamoœæ;124278;204;47552;7;t0664;54893;47;227;0;21606;150
lubuskie;gorzowski;42006;32;15577;2;t0801;17922;4;202;0;8305;26
lubuskie;kroœnieñski;70115;62;26505;3;t0802;31449;6;55;0;12106;53
lubuskie;miêdzyrzecki;89810;287;34207;50;t0803;40086;30;766;0;14751;207
lubuskie;nowosolski;129184;301;45594;7;t0804;58835;80;448;2;24307;212
lubuskie;s³ubicki;56160;432;21107;19;t0805;25310;49;97;6;9646;358
lubuskie;strzelecko-drezdenecki;70363;97;25358;2;t0806;33048;13;165;0;11792;82
lubuskie;sulêciñski;44975;161;15972;3;t0807;20958;22;288;0;7757;136
lubuskie;œwiebodziñski;74569;611;27854;10;t0808;33466;115;86;3;13163;483
lubuskie;zielonogórski;117309;104;44827;8;t0809;53688;21;793;0;18001;75
lubuskie;¿agañski;100514;200;34948;9;t0810;44076;22;627;0;20863;169
lubuskie;¿arski;136255;219;51263;3;t0811;60617;22;210;1;24165;193
lubuskie;wschowski;38791;449;14651;7;t0812;16903;93;183;0;7054;349
lubuskie;Gorzów Wielkopolski;225824;429;79718;17;t0861;104192;48;603;2;41311;362
lubuskie;Zielona Góra;217119;385;80319;28;t0862;91601;81;463;0;44736;276
³ódzkie;be³chatowski;105483;183;37716;8;t1001;46113;13;379;0;21275;162
³ódzkie;kutnowski;124993;268;48061;8;t1002;52466;24;583;0;23883;236
³ódzkie;³aski;47346;0;18777;0;t1003;20831;0;115;0;7623;0
³ódzkie;³êczycki;70123;43;26552;2;t1004;31736;5;408;0;11427;36
³ódzkie;³owicki;117154;0;46874;0;t1005;51872;0;442;0;17966;0
³ódzkie;³ódzki wschodni;58322;471;19447;11;t1006;24117;29;284;0;14474;431
³ódzkie;opoczyñski;81622;223;30204;5;t1007;37362;30;438;0;13618;188
³ódzkie;pabianicki;158056;418;57401;26;t1008;64940;67;435;4;35280;321
³ódzkie;pajêczañski;39220;6;14695;2;t1009;17824;1;66;0;6635;3
³ódzkie;piotrkowski;68402;522;26095;9;t1010;30683;75;389;0;11235;438
³ódzkie;poddêbicki;49739;0;19411;0;t1011;21694;0;412;0;8222;0
³ódzkie;radomszczañski;122367;359;46151;15;t1012;52639;28;553;0;23024;316
³ódzkie;rawski;39637;0;15051;0;t1013;17902;0;344;0;6340;0
³ódzkie;sieradzki;137861;513;51094;17;t1014;61861;67;766;0;24140;429
³ódzkie;skierniewicki;30387;12;12254;1;t1015;13939;1;208;0;3986;10
³ódzkie;tomaszowski;143023;144;55147;8;t1016;63533;13;486;0;23857;123
³ódzkie;wieluñski;115125;265;45030;6;t1017;51053;48;747;0;18295;211
³ódzkie;wieruszowski;45087;65;16523;3;t1018;20339;7;151;0;8074;55
³ódzkie;zduñskowolski;69918;383;25722;35;t1019;30228;39;130;0;13838;309
³ódzkie;zgierski;185716;315;68143;24;t1020;79049;24;602;0;37922;267
³ódzkie;brzeziñski;45451;252;18145;5;t1021;20042;40;104;1;7160;206
³ódzkie;£ódŸ;1242805;2862;465744;249;t1061;535315;384;7754;31;233992;2198
³ódzkie;Piotrków Trybunalski;116819;266;42618;2;t1062;50391;17;589;0;23221;247
³ódzkie;Skierniewice;100242;431;37758;12;t1063;43885;62;882;0;17717;357
ma³opolskie;bocheñski;104496;403;38936;24;t1201;48511;40;186;4;16863;335
ma³opolskie;brzeski;90989;338;34932;37;t1202;41220;57;117;0;14720;244
ma³opolskie;chrzanowski;154554;528;55844;17;t1203;66898;104;407;0;31405;407
ma³opolskie;d¹browski;56642;197;22315;10;t1204;25620;46;167;0;8540;141
ma³opolskie;gorlicki;113021;104;44428;2;t1205;50879;11;204;0;17510;91
ma³opolskie;krakowski;224486;684;83333;14;t1206;96545;63;1829;5;42779;602
ma³opolskie;limanowski;118574;389;45620;21;t1207;55957;54;319;0;16678;314
ma³opolskie;miechowski;76149;192;31194;4;t1208;34174;30;99;0;10682;158
ma³opolskie;myœlenicki;138123;180;54050;15;t1209;62845;52;546;3;20682;110
ma³opolskie;nowos¹decki;166617;339;63415;4;t1210;79534;36;312;0;23356;299
ma³opolskie;nowotarski;170714;565;65770;36;t1211;80281;72;436;1;24227;456
