wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;5650;178;1106;39;
dolnośląskie;490558;11621;167136;2461;t02
kujawsko-pomorskie;287214;7425;97232;1508;t04
lubelskie;331500;9588;115356;2940;t06
lubuskie;142678;4502;48047;820;t08
łódzkie;382643;9568;137257;2405;t10
małopolskie;473297;10570;160833;2495;t12
mazowieckie;894251;24721;306964;6155;t14
opolskie;145228;3687;50178;863;t16
podkarpackie;297440;8683;101621;2585;t18
podlaskie;192854;5678;66075;1702;t20
pomorskie;382710;8149;132101;2587;t22
śląskie;616372;17109;210543;3930;t24
świętokrzyskie;165429;5527;56698;1770;t26
warmińsko-mazurskie;209090;6031;68439;1245;t28
wielkopolskie;492710;14014;165458;3983;t30
zachodniopomorskie;245927;6410;84861;1654;t32
cały kraj;5755551;153461;1969905;39142;t00
