wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;6;0;1;0;t0;1;0;0;0;4;0
dolnoœl¹skie;4334709;0;1557582;0;t02;1799186;0;16944;0;960997;0
kujawsko-pomorskie;2930984;0;1052715;0;t04;1219702;0;12042;0;646525;0
lubelskie;2489099;0;915674;0;t06;1054602;0;13497;0;505326;0
lubuskie;1509019;0;538987;0;t08;645019;0;5383;0;319630;0
³ódzkie;3529010;0;1291164;0;t10;1465788;0;18791;0;753267;0
ma³opolskie;4524250;0;1661054;0;t12;1899347;0;14155;0;949694;0
mazowieckie;8595768;20;3105165;1;t14;3556286;0;40751;0;1893566;19
opolskie;1263050;0;464432;0;t16;529859;0;5030;0;263729;0
podkarpackie;2215386;0;834210;0;t18;969363;0;8415;0;403398;0
podlaskie;1514498;0;564716;0;t20;650848;0;6098;0;292836;0
pomorskie;3595615;6;1299425;3;t22;1491751;0;14929;0;789510;3
œl¹skie;6391101;9;2308936;0;t24;2656812;4;20682;0;1404671;5
œwiêtokrzyskie;1534975;16;561229;4;t26;649986;3;6253;0;317507;9
warmiñsko-mazurskie;1883844;0;683776;0;t28;785960;0;10516;0;403592;0
wielkopolskie;5275792;0;1919234;0;t30;2197686;0;20384;0;1138488;0
zachodniopomorskie;2520080;1;898255;0;t32;1059298;0;10625;0;551902;1
ca³y kraj;54107186;52;19656555;8;t00;22631494;7;224495;0;11594642;37
