wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;7;0;1;0;t0;1;0;0;0;5;0
dolnoœl¹skie;4321819;1191;1555673;196;t02;1797923;124;16863;14;951360;857
kujawsko-pomorskie;2924688;660;1051699;105;t04;1219045;79;12012;1;641932;475
lubelskie;2484836;455;914871;80;t06;1053977;66;13445;2;502543;307
lubuskie;1505744;390;538497;136;t08;644686;41;5374;0;317187;213
³ódzkie;3521517;752;1289867;124;t10;1465039;76;18683;13;747928;539
ma³opolskie;4509582;1298;1659053;179;t12;1898081;123;14063;8;938385;988
mazowieckie;8569563;2419;3101266;424;t14;3552917;364;40408;40;1874972;1591
opolskie;1260017;260;463870;44;t16;529444;20;5017;1;261686;195
podkarpackie;2211373;380;833432;85;t18;968811;61;8383;4;400747;230
podlaskie;1511775;242;564173;47;t20;650436;33;6074;10;291092;152
pomorskie;3584912;1058;1297889;209;t22;1490614;100;14801;6;781608;743
œl¹skie;6372252;1582;2306101;259;t24;2655054;146;20515;1;1390582;1176
œwiêtokrzyskie;1532287;358;560718;79;t26;649727;35;6238;3;315604;241
warmiñsko-mazurskie;1880305;472;683167;114;t28;785596;62;10468;0;401074;296
wielkopolskie;5234594;1593;1917067;324;t30;2169180;148;20194;23;1128153;1098
zachodniopomorskie;2513953;605;897304;125;t32;1058648;89;10570;3;547431;388
ca³y kraj;53939224;13715;19634648;2530;t00;22589179;1567;223108;129;11492289;9489
