wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2877691;4388;1345115;2232;t02
kujawsko-pomorskie;1930808;3726;898622;2227;t04
lubelskie;1646937;3154;768734;1695;t06
lubuskie;978112;1542;456597;690;t08
³ódzkie;2354533;5165;1107482;3052;t10
ma³opolskie;3043929;6561;1422333;3759;t12
mazowieckie;5589040;10016;2623672;5308;t14
opolskie;847187;1127;399625;584;t16
podkarpackie;1532096;3032;716307;1547;t18
podlaskie;1020768;1836;480523;847;t20
pomorskie;2349422;4411;1105536;2269;t22
œl¹skie;4287838;7365;2005548;3992;t24
œwiêtokrzyskie;1026332;2522;476834;1318;t26
warmiñsko-mazurskie;1220205;2748;570254;1420;t28
wielkopolskie;3407283;7070;1609953;3709;t30
zachodniopomorskie;1651220;3582;767702;1976;t32
ca³y kraj;35763435;68254;16754837;36625;t00
