wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;6;0;1;0;t0;1;0;0;0;4;0
dolnoœl¹skie;4351028;1498;1559183;150;t02;1800269;132;16729;20;974847;1196
kujawsko-pomorskie;2939207;540;1053572;40;t04;1220247;31;11994;2;653394;467
lubelskie;2494661;485;916384;57;t06;1055134;50;13498;1;509645;377
lubuskie;1513495;297;539597;34;t08;645459;28;5398;3;323041;232
³ódzkie;3539396;719;1292204;43;t10;1466606;51;18780;9;761806;616
ma³opolskie;4542554;1503;1662758;122;t12;1900682;115;14005;1;965109;1265
mazowieckie;8630335;2676;3108858;222;t14;3559621;195;40911;19;1920945;2240
opolskie;1266571;295;464860;21;t16;530194;26;5044;5;266473;243
podkarpackie;2220390;388;834856;40;t18;969953;64;8465;6;407116;278
podlaskie;1517843;371;565130;48;t20;651285;47;6098;2;295330;274
pomorskie;3609034;912;1300789;67;t22;1492759;71;15045;17;800441;757
œl¹skie;6415843;2092;2311217;145;t24;2658426;127;20573;15;1425627;1805
œwiêtokrzyskie;1538554;322;561567;29;t26;650355;24;6249;5;320383;264
warmiñsko-mazurskie;1888421;259;684336;31;t28;786290;10;10527;10;407268;208
wielkopolskie;5327355;1433;1921107;153;t30;2233463;110;20580;17;1152205;1153
zachodniopomorskie;2528197;532;899050;56;t32;1059932;49;10585;5;558630;422
ca³y kraj;54322890;14322;19675469;1258;t00;22680676;1130;224481;137;11742264;11797
