wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2748482;6821;1278916;4179;t02
kujawsko-pomorskie;1828569;6223;845597;4176;t04
lubelskie;1563135;4499;728211;2661;t06
lubuskie;926458;2848;433144;1848;t08
³ódzkie;2235937;5592;1044713;3528;t10
ma³opolskie;2884436;8958;1336005;5763;t12
mazowieckie;5319603;15099;2477893;10267;t14
opolskie;812241;2068;382743;1080;t16
podkarpackie;1453581;3798;680186;1777;t18
podlaskie;973209;2306;458814;1286;t20
pomorskie;2228063;6750;1043778;4435;t22
œl¹skie;4093899;9896;1905723;6038;t24
œwiêtokrzyskie;964637;3440;444460;2164;t26
warmiñsko-mazurskie;1147972;3914;534501;2363;t28
wielkopolskie;3201855;11021;1493898;7522;t30
zachodniopomorskie;1563488;4432;723554;2761;t32
ca³y kraj;33945590;97665;15812136;61848;t00
