wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2795948;5282;1304127;2616;t02
kujawsko-pomorskie;1866545;4045;866131;1969;t04
lubelskie;1590627;3759;742180;1777;t06
lubuskie;944971;2262;442266;1288;t08
³ódzkie;2278059;4557;1068689;2503;t10
ma³opolskie;2944688;6855;1370240;3974;t12
mazowieckie;5416158;11129;2533424;6258;t14
opolskie;825189;1605;389046;841;t16
podkarpackie;1477924;3378;691536;1455;t18
podlaskie;988158;1788;465923;817;t20
pomorskie;2272383;4647;1068433;2356;t22
œl¹skie;4163077;7000;1943468;3758;t24
œwiêtokrzyskie;985572;2600;456588;1437;t26
warmiñsko-mazurskie;1173957;3026;548711;1620;t28
wielkopolskie;3279724;7647;1542788;4545;t30
zachodniopomorskie;1594700;3620;740642;1774;t32
ca³y kraj;34597705;73200;16174192;38988;t00
