wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;7457;0;1225;0;
dolnośląskie;561176;622;177451;0;t02
kujawsko-pomorskie;329249;22;99956;19;t04
lubelskie;380284;0;121712;0;t06
lubuskie;171562;2;50222;0;t08
łódzkie;437691;7;141636;0;t10
małopolskie;539671;191;167090;29;t12
mazowieckie;1040283;1511;321922;30;t14
opolskie;166925;0;52375;0;t16
podkarpackie;355900;0;108783;0;t18
podlaskie;225865;0;71403;0;t20
pomorskie;437598;16;141281;0;t22
śląskie;715806;518;222150;230;t24
świętokrzyskie;190339;30;58721;29;t26
warmińsko-mazurskie;242400;172;72645;0;t28
wielkopolskie;570980;12;176458;0;t30
zachodniopomorskie;285723;0;88304;0;t32
cały kraj;6658909;3103;2073334;337;t00
