wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;168;11;38;9;t0
dolnoœl¹skie;1607728;29662;496441;14709;t02
kujawsko-pomorskie;999604;19958;297477;11255;t04
lubelskie;979017;14305;324972;8836;t06
lubuskie;539639;9197;166029;5726;t08
³ódzkie;1296658;21609;396514;12387;t10
ma³opolskie;1583040;30464;492125;16769;t12
mazowieckie;2985795;49311;943883;27210;t14
opolskie;490334;8434;142369;6313;t16
podkarpackie;952891;12815;320154;9020;t18
podlaskie;625958;7286;205096;5257;t20
pomorskie;1289978;19611;391490;11474;t22
œl¹skie;2331556;42171;712974;21956;t24
œwiêtokrzyskie;549682;10391;165263;6148;t26
warmiñsko-mazurskie;652090;10984;204889;6920;t28
wielkopolskie;1713546;31652;528335;19616;t30
zachodniopomorskie;927348;17188;285544;10835;t32
ca³y kraj;19525032;335049;6073593;194440;t00
