wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2872639;4715;1342548;2639;t02
kujawsko-pomorskie;1926946;3529;896322;2034;t04
lubelskie;1643699;3528;767013;1816;t06
lubuskie;976502;1785;455880;801;t08
³ódzkie;2349231;4165;1104384;2115;t10
ma³opolskie;3037208;5436;1418506;3098;t12
mazowieckie;5578336;10057;2618116;5823;t14
opolskie;846098;1500;399071;784;t16
podkarpackie;1528755;3145;714603;1483;t18
podlaskie;1018681;1782;479553;898;t20
pomorskie;2344787;4253;1103166;2094;t22
œl¹skie;4280190;7234;2001421;4273;t24
œwiêtokrzyskie;1023753;2206;475493;1253;t26
warmiñsko-mazurskie;1217199;2999;568721;1574;t28
wielkopolskie;3399483;6526;1605865;3665;t30
zachodniopomorskie;1647385;2642;765643;1306;t32
ca³y kraj;35690920;65505;16716305;35656;t00
