data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2178;0
2020-12-28;4396;0
2020-12-29;10098;0
2020-12-30;20451;1
2020-12-31;10626;0
2021-01-01;1346;2
2021-01-02;2260;0
2021-01-03;653;0
2021-01-04;40763;1
2021-01-05;55508;2
2021-01-06;18797;0
2021-01-07;30445;0
2021-01-08;11850;0
2021-01-09;2256;0
2021-01-10;996;0
2021-01-11;47700;3
2021-01-12;63550;0
2021-01-13;55154;0
2021-01-14;46663;1
2021-01-15;26300;0
2021-01-16;21043;18
2021-01-17;12098;419
2021-01-18;28491;2939
2021-01-19;49548;8163
2021-01-20;51221;14430
2021-01-21;53282;14850
2021-01-22;38325;5264
2021-01-23;16732;1358
2021-01-24;5328;557
2021-01-25;73675;29599
2021-01-26;133022;48362
2021-01-27;104454;26594
2021-01-28;89503;29476
2021-01-29;43942;16157
2021-01-30;16290;3114
2021-01-31;8690;1387
2021-02-01;57207;33310
2021-02-02;115389;57655
2021-02-03;122210;55897
2021-02-04;107507;51577
2021-02-05;52070;29561
2021-02-06;24703;15709
2021-02-07;16488;10167
2021-02-08;33195;11764
2021-02-09;90296;20430
2021-02-10;113630;44772
2021-02-11;112289;58987
2021-02-12;75958;43621
2021-02-13;35645;15149
2021-02-14;14722;4864
2021-02-15;36430;11769
2021-02-16;72078;33786
2021-02-17;155855;84930
2021-02-18;175193;94065
2021-02-19;102983;50117
2021-02-20;35731;7682
2021-02-21;15957;3613
2021-02-22;43235;4101
2021-02-23;71539;20400
2021-02-24;160483;76808
2021-02-25;174651;90480
2021-02-26;103406;45382
2021-02-27;44661;11761
2021-02-28;17810;5623
2021-03-01;46011;5404
2021-03-02;81949;21626
2021-03-03;156350;67755
2021-03-04;173343;85683
2021-03-05;108295;44577
2021-03-06;49148;12019
2021-03-07;17897;5349
2021-03-08;34300;3647
2021-03-09;63577;8398
2021-03-10;142405;42872
2021-03-11;161836;68153
2021-03-12;94263;39371
2021-03-13;29111;6720
2021-03-14;11784;3031
2021-03-15;25363;3572
2021-03-16;47541;10664
2021-03-17;133316;43696
2021-03-18;154441;66497
2021-03-19;88775;38695
2021-03-20;29461;10124
2021-03-21;10584;3055
2021-03-22;51278;3969
2021-03-23;117092;19717
2021-03-24;189532;49834
2021-03-25;213393;71297
2021-03-26;159979;40304
2021-03-27;90035;14839
2021-03-28;34264;6762
2021-03-29;78620;9729
2021-03-30;114879;15837
2021-03-31;183199;19790
